jeff,beta,numnodes,numlinks,probRewire,numedges,graph_seed,numx,trim,x_seed,toynetwork,cost_inviteirt,time_inviteirt,bestgraph_inviteirt,hit_inviteirt,miss_inviteirt,fa_inviteirt,cr_inviteirt,bestval_inviteirt,cost_invite,time_invite,bestgraph_invite,bestgraph_invite,miss_invite,fa_invite,cr_invite,bestval_invite
0.9,0.909090909,15,4,0.3,30,2,3,0.7,2,15!2g8wv6xk41u8or4yxize5xhafsgpj0lcm136ech1e70i,16,00:13.5,15!1n6yfgn8625bine9wg745wm949a02tmz6zke9jz83u9u,18,12,4,71,-28.34548907,17,FALSE,15!1n6yfgn83zh0y8u0a9bhcitu55sqm7llaod0b0xgvugy,15!1n6yfgn83zh0y8u0a9bhciu6a53f5796m2gggh6sl81u,13,4,71,-27.48703754
0.9,0.909090909,15,4,0.3,30,3,3,0.7,3,15!10uvc1utp16gf01e90nbyb96sw2bh4ct983vsvgimznq,19,00:18.3,15!tkf6x7y8cozfysfoj2ajf3cawgppno6x9ckkwbpbapu,16,14,5,70,-28.73629736,21,TRUE,15!vdwmg19pzo7a4jcy1pvh4fv2ljbj31dnnbs6jdj5eki,15!vdwmg19pzo7a4jcy1pvh4fv2ljbj31dnnbs6jdj5eki,14,7,68,-26.49683219
0.9,0.909090909,15,4,0.3,30,4,3,0.7,4,15!2iz4iceqtwenesc4qjzjkdtga3hasyraqlr1undkwcna,21,00:12.3,15!1m85e87kt4v0i5q77l7la5o7wexlj135esl3k0lubksi,16,14,7,68,-30.45577473,21,TRUE,15!1m85e87kt4v0i1vffj0fvfzyog66m4z4kr5w4i4w2ghu,15!1m85e87kt4v0i1vffj0fvfzyog66m4z4kr5w4i4w2ghu,15,6,69,-26.89503057
0.9,0.909090909,15,4,0.3,30,5,3,0.7,5,15!1mg3fwoaiyb3eyjegbqn8kyd6uxoe7wf4mcc1rfi3n28,21,00:12.3,15!3vfwglv7y22bt7dwiawaacwq75ksn376sco9ylfxskg,17,13,8,67,-31.51347993,23,TRUE,15!5oxbzf6pl1g2maeffmqfrg8s4yqvv53gi2wwz6eeq5c,15!5oxbzf6pl1g2maeffmqfrg8s4yqvv53gi2wwz6eeq5c,14,9,66,-29.11239779
0.9,0.909090909,15,4,0.3,30,7,3,0.7,7,15!2iyur2yiifp2uadjfuon0psu6lz2gdwypm7gkfmevbwk,18,00:12.2,15!1mslkvw7r14fl4nvmi7sbhy8e1p6j4e0wwpsd2h3clqo,18,12,6,69,-33.61142924,17,TRUE,15!1mslkvw7r14fl4nvmi7sbhy8e1p6j4e0wwpsd2yumm8k,15!1mslkvw7r14fl4nvmi7sbhy8e1p6j4e0wwpsd2yumm8k,11,6,69,-31.89237642
0.9,0.909090909,15,4,0.3,30,8,3,0.7,8,15!u5d5xmkj8asgds5620mcze77cvyfiunc1bsf8l6w00k,17,00:12.6,15!u0refy2mb1g5ucg9dm6g18llgkfz3ej0y77hf1fmi2s,16,14,3,72,-26.23989111,17,FALSE,15!u0refy2mb1g5ucg9dm6g18llgkfz3ej0y77hf1fmi2s,15!u0refy2mb1g5oqlo73mm8ao8v90ydtn2d6nnurxewas,14,3,72,-23.11611835
0.9,0.909090909,15,4,0.3,30,10,3,0.7,10,15!1tkf5dux92rv5g8rl6gr89uq53yj9669d7uk6bsgzyma,14,00:14.0,15!1tkf5duii1q76352zft6acy88i40jlfevv71kggb7upu,19,11,3,72,-30.4240225,17,TRUE,15!1tkf5duii1nknprmsvarroso928z3xgg4phne8svtxz6,15!1tkf5duii1nknprmsvarroso928z3xgg4phne8svtxz6,13,4,71,-27.48715386
0.9,0.909090909,15,4,0.3,30,12,3,0.7,12,15!2u6agajbzkuvqkecs46d6qfhcuzfyhzn6rdps2qbugw0,22,00:16.1,15!7ie9crw4f5mdggnd967axrhosxsi2zi5jojo6tfek1u,14,16,6,69,-28.90668167,22,FALSE,15!7ie6xd3nkxv4tbyrmg8q0siohnf523d0mu2txjg8poi,15!7iec3u96peeuga7wrp14701jtb7zek4dedlyqvkqy9u,16,6,69,-26.39693038
0.9,0.909090909,15,4,0.3,30,14,3,0.7,14,15!ckisobnzv8slflh17dorp3c71k3eeedy4oax14ritg,16,00:12.1,15!8g14uigsnkofpg7krwul0g5smg3unmijlfapxdb210,17,13,3,72,-25.58796923,19,TRUE,15!8g14ux7tepv3yts33e3k2kx7mt2o1cdafi8pdueqkk,15!8g14ux7tepv3yts33e3k2kx7mt2o1cdafi8pdueqkk,15,4,71,-23.90230192
0.9,0.909090909,15,4,0.3,30,16,3,0.7,16,15!21q2r6w8evo45t7ttm5fm0w80n92r78c5bmwqjnc5hj6,15,00:13.9,15!1qs5c00zatyu55o0oscjpmvektexhvziq47wg4thmz2a,18,12,3,72,-29.56918293,15,TRUE,15!1n56gy18avvvay9dj9d9buspug16wjpe04llpk8k6dxe,15!1n56gy18avvvay9dj9d9buspug16wjpe04llpk8k6dxe,13,2,73,-24.8679678
