subj,link1,link2,rw,invite,irt5,irt7,irt9
S101,peacock,zebra,1,1,1,1,1
S101,fox,rooster,0,0,1,0,0
S101,bunny,hare,1,1,1,1,1
S101,fish,bird,1,1,1,1,1
S101,chicken,pigeon,1,1,1,1,1
S101,mouse,polarbear,0,0,1,1,0
S101,lovebird,parrot,1,1,1,1,1
S101,polarbear,grizzlybear,1,1,1,1,1
S101,horse,swan,1,1,1,1,1
S101,pheasant,rhinoceros,1,1,1,1,1
S101,poodle,terrier,1,1,1,1,1
S101,zebra,hippopotamus,1,1,0,1,1
S101,swan,bee,1,1,1,1,1
S101,antelope,grizzlybear,1,1,1,1,1
S101,duck,lovebird,0,0,1,0,0
S101,mouse,hare,0,0,1,0,0
S101,mouse,llama,0,0,1,0,0
S101,lion,bird,1,1,1,0,1
S101,zebra,pig,0,0,1,1,0
S101,turkey,tortoise,1,1,1,1,1
S101,ant,mouse,1,1,1,1,1
S101,lion,dog,1,1,1,0,1
S101,bluerussian,persian,1,1,1,1,1
S101,shark,dolphin,1,1,0,1,1
S101,fox,dolphin,1,1,1,1,1
S101,horse,jaguar,1,1,1,1,1
S101,elephant,hyena,1,1,1,1,1
S101,fox,chicken,1,1,1,1,1
S101,grasshopper,beetle,1,1,1,1,1
S101,quail,warthog,0,0,1,0,0
S101,chicken,dolphin,0,0,1,1,0
S101,beetle,bee,1,1,1,1,1
S101,humunukuapua,pufferfish,1,1,1,1,1
S101,swan,bunny,0,0,1,0,0
S101,antelope,rhinoceros,1,1,0,1,1
S101,sparrow,frog,0,0,1,1,0
S101,ant,hare,1,1,1,1,1
S101,lion,cat,0,0,1,1,0
S101,warthog,polarbear,1,1,0,1,1
S101,rhinoceros,giraffe,0,0,1,1,0
S101,parrot,hyena,1,1,1,1,1
S101,elephant,jaguar,1,1,1,1,1
S101,sparrow,turkey,1,1,1,1,1
S101,grizzlybear,parrot,1,1,0,0,1
S101,bluerussian,poodle,1,1,1,1,1
S101,cat,bird,1,1,1,1,1
S101,rooster,whale,1,1,1,1,1
S101,antelope,bird,0,0,1,0,0
S101,antelope,mouse,1,1,0,0,1
S101,sparrow,fox,1,1,1,0,1
S101,hippopotamus,elephant,1,1,1,1,1
S101,lion,elephant,1,1,1,1,1
S101,shark,snail,1,1,1,1,1
S101,warthog,pig,1,1,1,1,1
S101,hippopotamus,monkey,1,1,1,1,1
S101,peacock,pig,1,1,1,1,1
S101,persian,humunukuapua,1,1,1,1,1
S101,dolphin,whale,1,1,0,0,1
S101,rooster,chicken,1,1,1,1,1
S101,swan,goose,1,1,1,1,1
S101,antelope,polarbear,0,0,1,1,0
S101,warthog,leopard,1,1,1,1,1
S101,tortoise,wolf,1,1,1,1,1
S101,bluerussian,humunukuapua,0,0,1,1,0
