numlinks,prob_rewire,graphtype,numgraphs,numnodes,trim,jump,startX,numx,jumptype,irttype,irt_weight,beta,rcutoff,numedges,graph_seed,x_seed,truegraph,truegraphll,truegraphll_prior,truegraphll_irt,truegraphll_irt_prior,cost_rw,time_rw,bestgraph_rw,hit_rw,miss_rw,fa_rw,cr_rw,ll_rw,cost_uinvite,time_uinvite,bestgraph_uinvite,hit_uinvite,miss_uinvite,fa_uinvite,cr_uinvite,ll_uinvite,cost_uinvite_irt,time_uinvite_irt,bestgraph_uinvite_irt,hit_uinvite_irt,miss_uinvite_irt,fa_uinvite_irt,cr_uinvite_irt,ll_uinvite_irt,cost_uinvite_prior,time_uinvite_prior,bestgraph_uinvite_prior,hit_uinvite_prior,miss_uinvite_prior,fa_uinvite_prior,cr_uinvite_prior,ll_uinvite_prior,cost_uinvite_irt_prior,time_uinvite_irt_prior,bestgraph_uinvite_irt_prior,hit_uinvite_irt_prior,miss_uinvite_irt_prior,fa_uinvite_irt_prior,cr_uinvite_irt_prior,ll_uinvite_irt_prior
6,0.3,steyvers,10,30,0.7,0,stationary,5,stationary,gamma,0.9,0.909090909,20,100,1,1,>>sparse6<<:]__@_@A_@AB_@ABCbC`BD_AC`D`BCDGcHI_@BD`ABEG_AFH_CDG_DGN`EGJN_AEG_DKN_ABCFeGIfHNO`B_DNbET_BMnU_IKRWfHZ,-197.0622992,-204.5333581,-189.4090912,-197.887828,72,00:00.0,>>sparse6<<:]_`_@A`bbgCdcEGHdFHI_BDFIaG_A_CDGL_G`EGHJaG_DbDFeGPfHMO`A_IJLMTeIKSbSmU_CIKRYeFHSZ,54,46,26,309,-154.6769762,69,00:38.1,>>sparse6<<:]_`_@A`bbgCdcEGHdFH_BDFIaG_A_DGL_G`EGHJaG_DbFeGfHMO`A_IJLMTeIKSbSu_CIKRYfHZ,52,48,21,314,-153.036199,66,01:25.8,>>sparse6<<:]_`_@A`bbgCdcEGHdFHI_BDFIaG_A_DGL_G`EGHJaG_DbFeGfHMO`A_ILMTeIKbSu_CIKRYfHZ,53,47,19,316,-151.9371086,70,01:18.9,>>sparse6<<:]b?@A_B_B_@Be`CE_AC``ABCdF`EKaKcM`EbHnfKP`L`DLMnaDKM_ADHIKMnPQUfHLaVX_IPUYfGRZ,57,51,19,308,-160.5212834,64,02:29.8,>>sparse6<<:]b?@_B_B_@Be`CE_AC``ABCdF`EKaKcM`EbHndF`L`MnaDKM_ADHIMnPQUfHLaVX_IPYfGRZ,57,51,13,314,-160.9018936
6,0.3,steyvers,10,30,0.7,0,stationary,5,stationary,gamma,0.9,0.909090909,20,101,3,3,>>sparse6<<:]__@_@A_@AB_@ABC`BC_BDE`ABCE_DG_@BG_AC_BCH_A_ABGbFGaDK_A_DEN`ABCOQbEHIM_@BEaBLMdERdKSaBLUdKSaLUcFGNScW,-207.757046,-210.7192193,-199.8973562,-202.731452,88,00:00.0,>>sparse6<<:]_`c?A_@BCbC`CDaCEb_BGHaCG__J_BGbMbD_AJNdFNbEHJQeFR_@EIKQaCKMPeKQRhKaLNU`O`LRUXfGJTrSTW,49,52,36,298,-158.1562112,89,00:34.7,>>sparse6<<:]_`c?A_@BCbC`CDaCEb_BGHaCGl?J_BGbMbD_ANdFNbEHJQeFR_@EIKQaCKMPeKQRhKaLN`O`LRUXfGJTrSTW,47,54,35,299,-157.9259233,81,01:31.8,>>sparse6<<:]_`c?A_@BCbC`CDaCEb_BGaCGl?J_BGbMbD_AdNbEHJQeF_@EIKaCKMPeKQRhKaLN`O`LRUXfGsTW,47,54,27,307,-156.7839614,84,00:53.5,>>sparse6<<:]c?``AD`BacdG_CFl?ADHI_BFJK_bL_FaLk_HL_DHNOaEHbDLbOV`BFRSbEJOWcHeGHKU`ADJO,48,61,23,303,-153.355271,76,01:23.0,>>sparse6<<:]c?`A`A`BaFcdG_BCl?ADHI_BFJK_bJ_FaLk_L_DHNOaEHbDLbOV`BFRSbEJOWceGHKU`DJO,51,58,18,308,-153.1629382
6,0.3,steyvers,10,30,0.7,0,stationary,5,stationary,gamma,0.9,0.909090909,20,99,5,5,>>sparse6<<:]__@_@A_@AB_@ABC_@BD`BDEbDEbGdEF`DI_@ABEbHgH_BEKcEJeIJ_DEI_BEN`BDEQRdHMdIQfGKLgHcDFU`AFGbCJK_AKZ`GTX,-203.7324603,-201.0289026,-197.9661053,-195.9641019,77,00:00.0,>>sparse6<<:]__@`a_bDddF`ABGfd_ABCEImGbE_CEJeJcEIObENQ_@IJLRcDIMcEGIRS_AFGIKLhbFU`ADFGNRXcJKRiU`DGTX,54,45,32,304,-160.0494409,72,01:01.9,>>sparse6<<:]__@`a_bDddF`BGfd_ABEmGbE_CJeJcEIObEN_@IJLRcDMcIRS_AFGIKLhbFU`DGRXcJKRiU`DGTX,51,48,24,312,-158.4972817,71,01:10.6,>>sparse6<<:]__@`a_bDddF`BGfd_ABEImGbE_CEJeJcEIObENQ_@IJLRcDMcIS_AFGIKLhbFU`DFGRXcJKRiU`DGTX,53,46,25,311,-159.6874198,73,01:13.7,>>sparse6<<:]a@_`B_C`_@BDaDiH_@DF_D_ABCIJgJhMgMeGIeHgHL`AIJd`DFHJoTaSiJPRoQTViST_NRaIZ,48,50,23,314,-157.8681039,72,03:15.5,>>sparse6<<:]a@_`B_C`_@BDaDFiH_@D_D_ABCIJghMdGMeGIeHgHJL`AIJd_@DFHJtaHSiJPRoTViST_NRaIZ,49,49,23,314,-160.9524666
6,0.3,steyvers,10,30,0.7,0,stationary,5,stationary,gamma,0.9,0.909090909,20,90,8,8,>>sparse6<<:]__@_@A_@AB_@ABC`BcE`A_C_CHc`ADcEFbFLbEFLgaBCDK`DLP_I_RbCDFPbLcFLN`BFLaCPQ_CHIR`BEFN_CTUZtU,-196.8805427,-206.3124558,-191.926759,-200.4121571,80,00:00.0,>>sparse6<<:]b?_@B_@AdcE`AiHkBcI_BFLbEF`GJaBGMaDELPaHI_`DFNPbDHaEFLNeFMTU`CKN_CI`CEIUX_@DFLPTXtU,45,45,35,310,-153.6294455,73,00:34.0,>>sparse6<<:]b?_@B_@dcE`AiHkBcI_FLbEFgJaBMaDPaI_`DFNPbHaFLNfMTU`KNcI`CEU_@DFTtU,40,50,23,322,-150.9321366,72,01:28.3,>>sparse6<<:]b?_@B_@AdcE`AiHkBm?BFLbEFgJaBaDLPaI_`DFNPbDHfLNeFMTU`KNcI`CEIU_@DFPTtU,42,48,24,321,-153.0030284,83,00:44.6,>>sparse6<<:]a@__aCd_@BCdE`DcH`AC_@CJ_albFaBHOeGHMdiOkReIeaMVaHKPdLNcLXeSUVeIS,46,65,18,306,-156.1061618,79,04:27.4,>>sparse6<<:]a@__aCd_@BCdE`DcG`C_@CJ_aClbCFaBHOeHMdiOkRgISeaMVaHKPdLRcELNXgUViQS,49,62,17,307,-157.6079067
6,0.3,steyvers,10,30,0.7,0,stationary,5,stationary,gamma,0.9,0.909090909,20,107,9,9,>>sparse6<<:]__@_@A_@AB_@ABC`ABbCE`AB_@CDaCFHaF_DFHbFIKbCDHbCJ_CDHMcEI`DKM_ABDcDHbFIKcDS_ACHQR_AEGMT_ABViK_HKOR_HORZ`KS[,-207.5819923,-206.8913753,-199.9104854,-199.2423227,83,00:00.0,>>sparse6<<:]b@A_@Aa``BCE`BC_CcaDFHhfInJpCI`HMN_BDKLOdOPQeIKdSaGHQRUaGJKMT_@CGKLOaIK_HO_IKOSZ_@SV[,53,54,29,299,-156.5576814,82,00:29.2,>>sparse6<<:]b@A_@Aa``BCE`B_caDFHhfInJpCI`HMN_BDKLOdOPQeIKdSaGHQRUaGJKMT_@CGKLOaIK_HO_IKOZ_@SV[,52,55,27,301,-156.1326515,78,01:27.1,>>sparse6<<:]b@A_@Aa``BCE`B_caDFaHfInJpCI`HMN_ABDKLOdOPQeIKdSaGHQRUaGJMT_@CGOiK_HO_IKSZ_@S[,52,55,23,305,-156.0978241,73,01:06.6,>>sparse6<<:]a?@c?B_dehBc_@AEfGHaD_JgjbCIO`ENdFGLObIOPaGHcEFLQcIObHhMRS_BDaINSVaBJoSX,46,50,23,316,-158.4062799,68,03:05.3,>>sparse6<<:]a?@a_B_dehBc_@AEFfGHaD_JgjbCIO`ENdFGLObIOPaGHcEFLQcIObHhLMRSbDTaINSVaBmOSX,50,46,22,317,-157.4611782
6,0.3,steyvers,10,30,0.7,0,stationary,5,stationary,gamma,0.9,0.909090909,20,95,10,10,>>sparse6<<:]__@_@A_@AB_@ABC_CDaBC_@BD`DG_ACDbDI`BCDFdGH`BCEG_CIgHLMdGNg_@ACMbEHLjL_IN_@AaBK`O_INUaGNVbJTcJY,-190.8568238,-216.3623528,-186.6551798,-209.4998429,68,00:00.0,>>sparse6<<:]a@_@_@A_A_AbCEe`DGaDk?@BDFIhIg_IbCEHLMdGNd_@ACIMNbEHILgJLi`BKaBCEFJmOiNUVqVbCJKTcEFNY,55,40,28,312,-153.0329855,61,00:31.5,>>sparse6<<:]a@_@_@A_A_AbCedGaDk@BDFIhIg_eHLMdGNd_@ACMbLgJv@aBCEFmOiNUVqVbJTcFNY,49,46,15,325,-149.9736722,59,01:18.2,>>sparse6<<:]a@_@_@A_A_AbCEe`DGaDk@BDFIhIg_aEHLMdGNd_@ACMbEHLgJLi`BaBCFmOiNUVqVbJKTcFNY,54,41,18,322,-153.5086371,82,01:15.4,>>sparse6<<:]b@`A_@AC_A_BD`BCDckIJ_@HfLhLaBNk`ADEIKP_@F_KRaDJNbJQbEaHRU_CL`ACDHjKcDGJS_JMR,49,56,26,304,-166.985861,82,01:57.0,>>sparse6<<:]_b?@`A_@_AB_BD`ABCDcdkIJ_@HfLaHLaBNk`ADEIKP_@F_KRaDJNbJQbEaHNRUcFL_@ACDHjK_CDGJSjMR,52,53,29,301,-167.8521998
6,0.3,steyvers,10,30,0.7,0,stationary,5,stationary,gamma,0.9,0.909090909,20,115,12,12,>>sparse6<<:]__@_@A_@AB_@ABC`AD_ABC`ABCDaBF_@CGaBCGH_BCGaCDFGcIK`EGL_ACGN`FLM`BGH_@BGaCDEGL_@GINbCPTaBDR_AHPfHJQRfLNPS_@DTbGJqRX,-204.8835231,-206.0533117,-199.196411,-198.8084775,85,00:00.0,>>sparse6<<:]_b?@`Aa`aEbCDbjAEGH_@BDFGdFidEGLbCKN_FLMaBHIJ`KLcEGJL_EGN`ITaDRfPQRhRlOSW_@DKTgRqX,55,60,25,295,-151.7536489,89,00:18.0,>>sparse6<<:]_b?@`Aa`aEbCDbjAEH_@FGdFidEGLbCKN_FMaBHIJ`KLcGJL_EGN`ITaDRfPQRhRlOSW_DKTgRqX,50,65,24,296,-151.0970064,82,01:16.3,>>sparse6<<:]_b?@`Aa`abCDbjAEH_@DFGdFidEGLbCN_FLMaBHIJ`KLcEGJL_EGN`ITaDRfPRhRlS_@DKTgRqX,53,62,20,300,-152.1546629,74,00:56.8,>>sparse6<<:]b?d@A`C_@E_bf`BaI_BEFdcGHIM`BIKLciOncMnR`PT`J_GS_BCEVWjLQ_BKUYbHaCKX,49,57,17,312,-154.5944057,73,02:30.9,>>sparse6<<:]b?d@AC`BC_@E_bf`BaI_BEFdcGHIM`BIKLciOnmnR`PT`J_GS_BCEVWjLQ_BKUYhNaCKX,50,56,17,312,-153.9162774
6,0.3,steyvers,10,30,0.7,0,stationary,5,stationary,gamma,0.9,0.909090909,20,104,13,13,>>sparse6<<:]__@_@A_@AB_@ABC_BC_@AD`ABCF_@BCG_@F_ACEFaHIJ_G`G`A`AD_CDHaGI`ADO`AR_ADG_@G_@BPhJK_BCGPcEFHUXiJK_DGIJ`DGI,-211.3376599,-203.1828691,-205.3586127,-197.1786623,85,00:00.0,>>sparse6<<:]b?A`ABaBbC_Ah?`F_AFfHI_@GIe`EJ_CGMbCDHJegNO`AMR_DGS__@DEPbHKcGMPV`CDEFMUX`IgVcDFGTX,50,54,31,300,-156.879951,86,00:40.2,>>sparse6<<:]b?A`ABaBbC_Ah?`F_AFhI_@Ge`EJ_CMbCDJegNO`ARdGS_`DEbKcMPV`CDFMUXigVcDGTX,43,61,25,306,-155.5453968,80,01:22.3,>>sparse6<<:]b?A`ABaBbC_Ah?`F_AFfHI_@Gn@EJ_CGMbCDJegNO`AR_DGS_`DPbHKcGMPV`CEFMUX`IgVdGTX,48,56,24,307,-159.3004495,75,00:56.7,>>sparse6<<:]__@_@A`_fAaCiDFHaDgIJjgHL_AB`BJdJOcGJNeFHgHQcPSeNaFHjPhILMV`DFPfHIV`BOR`S,50,54,21,310,-159.6126626,71,02:24.6,>>sparse6<<:]__@`A`_fAaCi@FHaDgIJjgHL_ABG`BdJOcGJNbEFHcGHQcJSeN_AFHoPhILMV`DFIPfGHIV`BOR`S,54,50,21,310,-160.2760131
6,0.3,steyvers,10,30,0.7,0,stationary,5,stationary,gamma,0.9,0.909090909,20,105,15,15,>>sparse6<<:]__@_@A_@AB_@ABCcD_CDE_ABD_@BG`BH_@GHI_HJ_@GHI_GHI_ABEbCMNaDHJiN_CDGOaFORdPS_BHL`AJKL`DFcPRWbDNdGRaHJX_@N[,-203.7637255,-205.0344596,-198.0184964,-198.7521481,79,00:00.0,>>sparse6<<:]a?_@`ABccbDbC`FG`_DH_DG_@BHI_HaDEGcMN`ADJLn_@HJMOaBRpS_LMN`AJKLP_DFcWqRdJNaBHJSVXo[,54,51,28,302,-156.5527024,79,00:41.0,>>sparse6<<:]b?@`ABccbDbC`FG`dH_DG_@BHI_HaDEcMN`DJn_@HJMOaBRpS_LMN`AJLP_DFcWqRdJNaBHJXo[,50,55,24,306,-155.7909437,76,02:16.2,>>sparse6<<:]b?@`ABccbDbC`FGj?DHdG_@BHI_HaDEcMN`ADJn_@HMOaBRpS_LMN`AJKLP_DFcWqRdNaBHJXo[,51,54,22,308,-157.3220972,76,01:20.5,>>sparse6<<:]_`c@A`C_@aEc`AaBDbdJcKaJLibDJaI`ABFPlMfbCGJMeL`INP_@BEJQUlVkNS_BJbCKMbDOTU,46,49,27,313,-158.5300828,77,02:00.7,>>sparse6<<:]_`c@A_@C`aEc`AaBDbcDJcKjLibDJaFIO`ABFlMfbCGJMeL`EINP_@BEJQUlVkNS_BJbCMbDOTU,46,49,28,312,-159.601851
6,0.3,steyvers,10,30,0.7,0,stationary,5,stationary,gamma,0.9,0.909090909,20,103,17,17,>>sparse6<<:]__@_@A_@AB_@ABC_BCD_@AD`ACDcD_DEF`BF`ABCaBCF`BFaFJLMfLN`DElNO`BKNfLNOQbDIbCKbCDL_CI`BCDNcDUVbLMTUbFJcDV,-196.8921913,-226.6044565,-191.1618871,-220.1898664,73,00:00.0,>>sparse6<<:]_d@AC_BCD_@A_@DiBEbEI`ABH_AC_AFGfMlN`ADEIfINkMNbJNOPQabCK_BHL_CIaNdTUVbLMQTUVYbFJcDLTV,57,46,27,305,-156.9201578,67,00:46.4,>>sparse6<<:]_d@AC_CD_@A_@iBEbE`ABH_AC_AFGfMlN`DEfINkMNbNOQuBCKbHL_CIaNdTUVbLMTUVYfJcDTV,54,49,18,314,-155.2934774,67,01:59.1,>>sparse6<<:]_d@AC_BCD_@_@iBEbE`ABHaC_AFfMlN`DEfNkMNbIJNOQabCKbHL_CIaNdTUVbLMTUVYfJcDTV,54,49,18,314,-156.084148,98,01:01.4,>>sparse6<<:]___@Ae?CDb_EaD`A`H`DFHIJbFJl_AC_BCDFIbEGjLMbN`DFMNORhKN_EGPdJKPRaGHKORUVjVaCW`DJQ`BCIaILOWZ,52,60,38,285,-169.3123096,93,03:52.9,>>sparse6<<:]___@Aae?Db_BEaD`B`H`DFHIbFJl_ACaBCDFIeGjMbN`DFMORhK_EPdKPRaHKORUjVaC`DJQ`BCIlOWZ,49,63,30,293,-167.856593
