jeff,beta,numnodes,numlinks,probRewire,numedges,graph_seed,numx,trim,x_seed,cost_rw,cost_irts,cost_noirts,time_irts,time_noirts,bestgraph_irts,bestgraph_noirts,alter_graph,hit_irts,miss_irts,fa_irts,cr_irts,hit_noirts,miss_noirts,fa_noirts,cr_noirts,hit_rw,miss_rw,fa_rw,cr_rw,bestval_irts,bestval_noirts,bestval_rw
0.5,1.1,15,4,0.3,30,1,3,0.7,1,NA,20,NA,02:18.7,NA,5xm7o42a50td06q1p7ro0q7can27xni8pf3ry3yijb4,NA,1,17,13,7,68,NA,NA,NA,NA,NA,NA,NA,NA,-23.44890118,NA,NA
0.5,1.1,15,4,0.3,30,2,3,0.7,2,NA,19,NA,02:24.2,NA,1nb1wvrxpdjmsp0010oz9z4rjk9imcblqf6gvk9dyo76,NA,0,19,11,8,67,NA,NA,NA,NA,NA,NA,NA,NA,-23.37035947,NA,NA
0.5,1.1,15,4,0.3,30,3,3,0.7,3,NA,20,NA,02:18.0,NA,tt4ae33o0qrltoitwuleaqzn7ubeo1ghi5weeehdqf6,NA,0,18,12,8,67,NA,NA,NA,NA,NA,NA,NA,NA,-25.88416238,NA,NA
0.5,1.1,15,4,0.3,30,4,3,0.7,4,NA,21,NA,02:31.7,NA,1m85e9b2ea0sengs842ws8db0ug8uop6suzkgchk9342,NA,0,18,12,9,66,NA,NA,NA,NA,NA,NA,NA,NA,-29.18472891,NA,NA
0.5,1.1,15,4,0.3,30,5,3,0.7,5,NA,19,NA,02:40.6,NA,3vfwglv8ze7m0lq3jmghukdacl6ayabs4ianlibnly8,NA,0,18,12,7,68,NA,NA,NA,NA,NA,NA,NA,NA,-26.69403116,NA,NA
0.5,1.1,15,4,0.3,30,6,3,0.7,6,NA,21,NA,02:41.4,NA,281y0r2klnha344o7ciuo8r0j2ru3y8kcudap8w7zls0,NA,1,17,13,8,67,NA,NA,NA,NA,NA,NA,NA,NA,-25.84142869,NA,NA
0.5,1.1,15,4,0.3,30,7,3,0.7,7,NA,25,NA,03:41.6,NA,1mtmo8y9bvfowpuktqcrye62hye7vnf2wx2sa1ri5jj4,NA,0,16,14,11,64,NA,NA,NA,NA,NA,NA,NA,NA,-28.61916359,NA,NA
0.5,1.1,15,4,0.3,30,8,3,0.7,8,NA,21,NA,02:41.0,NA,u0regb6mz5zbq8pyo27k6bbzdbbpdy8akw3a51tse86,NA,0,16,14,7,68,NA,NA,NA,NA,NA,NA,NA,NA,-26.11367152,NA,NA
0.5,1.1,15,4,0.3,30,9,3,0.7,9,NA,17,NA,02:49.2,NA,kqmugc58eoqb4yh4bsb9xr4rmzgn9htbugoiehc2,NA,1,19,11,6,69,NA,NA,NA,NA,NA,NA,NA,NA,-29.5330643,NA,NA
0.5,1.1,15,4,0.3,30,10,3,0.7,10,NA,17,NA,02:19.1,NA,1tkf5greneqgh6dcaqaptu9q97wv04a3gvxg5wg4qbsy,NA,0,18,12,5,70,NA,NA,NA,NA,NA,NA,NA,NA,-25.64289808,NA,NA
