jeff,beta,numnodes,numlinks,probRewire,numedges,graph_seed,numx,trim,x_seed,cost_rw,cost_irts,cost_noirts,time_irts,time_noirts,bestgraph_irts,bestgraph_noirts,alter_graph,hit_irts,miss_irts,fa_irts,cr_irts,hit_noirts,miss_noirts,fa_noirts,cr_noirts,hit_rw,miss_rw,fa_rw,cr_rw,bestval_irts,bestval_noirts,bestval_rw
0.9,1.1,15,4,0.3,30,0,2,0.7,0,18,19,19,01:15.0,00:13.9,15gauiyqyuxkw001dnnexjdoidc0xqkos4j155tz8,15gauiyqyuxkw001dnnexjdoidc0xqkos4j155tz8,1,14,16,3,72,14,16,3,72,15,15,3,72,-16.33758757,-15.10131573,-15.34522288
0.9,1.1,15,4,0.3,30,0,3,0.7,0,15,16,15,02:37.8,00:28.9,t3s1tiidj1pz2220uafckl8n0vsl2omm69v7dyh0tty,t3s1tiidj1e5rdvi0xa6kzkqc0i9eihsdb9vqh80gli,0,17,13,3,72,17,13,2,73,19,11,4,71,-28.9249246,-27.21061568,-28.74419876
0.9,1.1,15,4,0.3,30,0,4,0.7,0,14,11,12,02:23.7,00:32.3,t3s1tiidig2893qs0zsw8qtfvyplrxf34moi9ttvy86,t3s1tiidj1e66c692z4k1ir9pjq7zyu3z3b3wjj82yu,0,21,9,2,73,20,10,2,73,21,9,5,70,-40.89419406,-39.01635113,-41.68903643
0.9,1.1,15,4,0.3,30,0,5,0.7,0,12,8,9,03:04.1,00:41.6,t3smjf4i4y9qksh3rf9e43vqg7rc8tbsiqlxopmmi9y,t3smjf4i4xxxa4aky2484jkdoj74jahbjti8y3d7l6u,0,24,6,2,73,23,7,2,73,24,6,6,69,-55.65047726,-55.73482433,-57.99839792
0.9,1.1,15,4,0.3,30,0,6,0.7,0,12,6,6,03:44.8,00:40.2,t41u1wyi2czi2jq6hyg3je7fo91fzf8uv1eb0kcrrie,t41u1wyi2czi2jq6hyg3je7fo91fzf8uv1eb0kcrrie,0,25,5,1,74,25,5,1,74,25,5,7,68,-67.00330928,-66.64607781,-71.03772171
0.9,1.1,15,4,0.3,30,0,7,0.7,0,12,5,8,03:56.8,00:40.4,t41u1w4zyioz245zyti76p5rl1umrytsww1pz86al8m,t41u1w4zz46t7ysr97bdshjozkfklgusf7qwyw0bl6u,0,25,5,0,75,24,6,2,73,26,4,8,67,-79.55703978,-81.14233612,-86.57951224
0.9,1.1,15,4,0.3,30,0,8,0.7,0,12,4,4,04:30.5,00:49.7,t41u1wyi2czi2bbem6qogw5dx1ttcv9we70d9uujmrq,t41u1wyi2czi2bbem6qogw5dx1ttcv9we70d9uujmrq,0,26,4,0,75,26,4,0,75,27,3,9,66,-90.32774373,-89.73651077,-101.9630945
0.9,1.1,15,4,0.3,30,0,9,0.7,0,15,5,7,05:17.3,00:57.3,t41u1wyi2d5epneo0vc7kbcnmzf31je9htadis4s5qe,t41u1wyi2y5ixhrn37fn6p8q072jcz73erz8x51e0p2,0,26,4,1,74,25,5,2,73,28,2,13,62,-110.4237219,-110.8744913,-126.6045893
0.9,1.1,15,4,0.3,30,0,10,0.7,0,18,6,5,06:07.7,01:06.6,t41u1wyi2dt1azrpnlmjjioh0q9gccwedv1z19fgnwm,t41u1wyi2d5epneo0vc7kbcnmzf31je9htadis4s5qe,0,26,4,2,73,26,4,1,74,28,2,16,59,-126.0817201,-126.6018845,-147.1283
0.9,1.1,15,4,0.3,30,0,11,0.7,0,18,5,6,06:18.5,01:07.4,t41u1wyi2dt1azrpnlmjjioh0q9gccycgpm1bzh6rye,t41u1wyi2y5ixhrn37fn6p8q072jcz91hmjb7v344qu,0,27,3,2,73,26,4,2,73,28,2,16,59,-138.1882654,-137.8134518,-161.2869735
0.9,1.1,15,4,0.3,30,0,12,0.7,0,20,6,5,07:33.4,01:27.8,t41u1wyi2yt5iu4opxp12a780fyst0q52gfwf8ryvpi,t41u1wyi2y5ixhrn37ep32vemp4fi7806eoawrhadja,0,26,4,2,73,26,4,1,74,29,1,19,56,-153.565572,-153.6283009,-183.8541714
0.9,1.1,15,4,0.3,30,0,13,0.7,0,21,6,5,09:23.7,01:41.2,t41u1wyi2yt5iu4opxp12a780fyst0q52gfwf8ryvpi,t41u1wyi2y5ixhrn37ep32vemp4fi7806eoawrhadja,0,26,4,2,73,26,4,1,74,29,1,20,55,-165.3244034,-164.135264,-202.26782
0.9,1.1,15,4,0.3,30,0,14,0.7,0,23,4,4,08:33.0,01:33.6,t41u1wyi30s1av7tm4k14oti5k93wekgxyw7mhn1yiu,t41u1wyi30s1av7tm4k14oti5k93wekgxyw7mhn1yiu,0,27,3,1,74,27,3,1,74,29,1,22,53,-180.1285498,-179.7507652,-222.8471361
0.9,1.1,15,4,0.3,30,0,15,0.7,0,23,4,4,09:01.5,01:39.5,t41u1wyi2grcz1eezvw3h3x5uyqcjyelq0k9e3a4yyu,t41u1wyi2grcz1eezvw3h3x5uyqcjyelq0k9e3a4yyu,0,28,2,2,73,28,2,2,73,30,0,23,52,-197.154087,-198.5166494,-244.6505401
0.9,1.1,15,4,0.3,30,0,16,0.7,0,25,2,1,10:34.5,02:04.3,t41u1wyi2gfjod7w6iqxhi9963g3m80y0z23dexga2u,t41u1wyi2frx30uujsgliaxfsclqbeit4xahuxmrrwm,0,29,1,1,74,29,1,0,75,30,0,25,50,-208.865114,-210.3899257,-265.5445399
0.9,1.1,15,4,0.3,30,0,17,0.7,0,26,2,1,09:52.5,01:44.4,t41u1wyi2gfjod7w6iqxhi9963g3m80y0z23dexga2u,t41u1wyi2frx30uujsgliaxfsclqbeit4xahuxmrrwm,0,29,1,1,74,29,1,0,75,30,0,26,49,-221.6075419,-222.362698,-283.4970247
0.9,1.1,15,4,0.3,30,0,18,0.7,0,27,1,1,10:35.5,01:56.7,t41u1wyi2frx30uujsgliaxfsclqbeit4xahuxmrrwm,t41u1wyi2frx30uujsgliaxfsclqbeit4xahuxmrrwm,0,29,1,0,75,29,1,0,75,30,0,27,48,-234.7182673,-235.3362097,-301.0144604
0.9,1.1,15,4,0.3,30,0,19,0.7,0,29,1,1,10:44.9,01:58.7,t41u1wyi2frx30uujsgliaxfsclqbeit4xahuxmrrwm,t41u1wyi2frx30uujsgliaxfsclqbeit4xahuxmrrwm,0,29,1,0,75,29,1,0,75,30,0,29,46,-250.3482419,-251.0181081,-325.6045778
0.9,1.1,15,4,0.3,30,0,20,0.7,0,31,0,1,12:40.2,02:35.9,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,t41u1wyi2frx30uujsgliaxfsclqbeit4xahuxmrrwm,0,30,0,0,75,29,1,0,75,30,0,31,44,-261.922839,-262.8950328,-348.9221753
0.9,1.1,15,4,0.3,30,0,21,0.7,0,32,0,1,11:49.4,02:10.2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,t41u1wyi2frx30uujsgliaxfsclqbeit4xahuxmrrwm,0,30,0,0,75,29,1,0,75,30,0,32,43,-276.312749,-276.5811968,-369.5453188
0.9,1.1,15,4,0.3,30,0,22,0.7,0,34,0,1,13:00.9,02:24.7,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,t41u1wyi2frx30uujsgliaxfsclqbeit4xahuxmrrwm,0,30,0,0,75,29,1,0,75,30,0,34,41,-290.5711396,-290.6629228,-392.2202275
0.9,1.1,15,4,0.3,30,0,23,0.7,0,36,0,0,12:24.4,02:18.7,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,36,39,-307.9545292,-308.4208424,-415.7058341
0.9,1.1,15,4,0.3,30,0,24,0.7,0,37,0,0,13:43.6,02:32.1,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,37,38,-320.1121822,-320.3229368,-437.0492342
0.9,1.1,15,4,0.3,30,0,25,0.7,0,38,0,0,15:05.0,02:47.1,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,38,37,-333.7231499,-333.7929444,-458.5814133
0.9,1.1,15,4,0.3,30,0,26,0.7,0,41,0,1,14:32.1,02:37.0,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,t41u1wyi2frx30uujsgliaxfsclqbeit4xahuxmrrwm,0,30,0,0,75,29,1,0,75,30,0,41,34,-349.8207007,-350.0688246,-486.0607264
0.9,1.1,15,4,0.3,30,0,27,0.7,0,45,0,1,16:41.7,03:54.9,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,t41u1wyi2frx30uujsgliaxfsclqbeit4xahuxmrrwm,0,30,0,0,75,29,1,0,75,30,0,45,30,-364.3872043,-364.5474338,-514.2935943
0.9,1.1,15,4,0.3,30,0,28,0.7,0,45,0,1,16:55.1,03:07.8,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,t41u1wyi2frx30uujsgliaxfsclqbeit4xahuxmrrwm,0,30,0,0,75,29,1,0,75,30,0,45,30,-376.3182067,-375.7333234,-533.2327111
0.9,1.1,15,4,0.3,30,0,29,0.7,0,46,0,0,17:22.8,03:12.5,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,46,29,-391.8910069,-392.0044244,-556.8468699
0.9,1.1,15,4,0.3,30,0,30,0.7,0,46,0,0,18:07.0,03:37.1,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,46,29,-405.4316666,-405.5005664,-576.1879852
0.9,1.1,15,4,0.3,30,0,31,0.7,0,47,0,0,15:48.3,02:55.7,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,47,28,-418.9854661,-418.2535503,-599.2495647
0.9,1.1,15,4,0.3,30,0,32,0.7,0,48,0,0,21:07.3,03:53.5,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,48,27,-432.1641215,-431.2382141,-623.0530329
0.9,1.1,15,4,0.3,30,0,33,0.7,0,48,0,0,20:06.1,03:43.8,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,48,27,-448.533795,-447.3327542,-642.6020463
0.9,1.1,15,4,0.3,30,0,34,0.7,0,49,0,0,20:14.0,03:30.9,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,49,26,-459.5630029,-458.4491834,-664.878408
0.9,1.1,15,4,0.3,30,0,35,0.7,0,49,0,0,27:45.9,05:23.2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,49,26,-473.3775184,-472.7312359,-684.8375895
0.9,1.1,15,4,0.3,30,0,36,0.7,0,49,0,0,30:02.0,05:43.7,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,49,26,-488.4423021,-488.4793102,-704.6218672
0.9,1.1,15,4,0.3,30,0,37,0.7,0,49,0,0,33:19.0,06:16.6,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,49,26,-501.3040787,-500.8682272,-724.0102819
0.9,1.1,15,4,0.3,30,0,38,0.7,0,51,0,0,28:06.1,05:28.5,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,51,24,-517.1843525,-516.6922015,-749.7986798
0.9,1.1,15,4,0.3,30,0,39,0.7,0,51,0,0,29:38.6,05:58.9,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,51,24,-531.1868767,-529.0687368,-768.9176304
0.9,1.1,15,4,0.3,30,0,40,0.7,0,53,0,0,35:29.4,06:34.8,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,53,22,-548.6346871,-547.1208074,-798.6825886
0.9,1.1,15,4,0.3,30,0,41,0.7,0,53,0,0,34:16.1,06:20.0,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,53,22,-561.4369088,-559.2618076,-818.0925754
0.9,1.1,15,4,0.3,30,0,42,0.7,0,54,0,0,33:16.2,06:18.2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,54,21,-577.2081213,-575.6616019,-842.5099974
0.9,1.1,15,4,0.3,30,0,43,0.7,0,54,0,0,33:55.3,06:20.7,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,54,21,-587.6838942,-585.8570276,-862.6045152
0.9,1.1,15,4,0.3,30,0,44,0.7,0,56,0,0,33:20.8,06:20.9,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,56,19,-600.733438,-598.9423286,-892.7276373
0.9,1.1,15,4,0.3,30,0,45,0.7,0,57,0,0,48:32.4,09:03.1,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,57,18,-615.3709343,-613.7208303,-917.245569
0.9,1.1,15,4,0.3,30,0,46,0.7,0,57,0,0,40:59.9,07:43.4,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,57,18,-625.7904801,-624.3117815,-937.6059716
0.9,1.1,15,4,0.3,30,0,47,0.7,0,57,0,0,40:26.3,07:45.3,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,57,18,-637.2931801,-636.120414,-958.2239566
0.9,1.1,15,4,0.3,30,0,48,0.7,0,58,0,0,39:50.7,07:21.4,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,58,17,-650.6516808,-649.5825216,-985.2344095
0.9,1.1,15,4,0.3,30,0,49,0.7,0,58,0,0,38:10.2,07:11.4,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,58,17,-665.2676747,-664.336985,-1005.637131
0.9,1.1,15,4,0.3,30,0,50,0.7,0,58,0,0,36:47.2,06:48.7,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,58,17,-677.6481939,-675.9618724,-1026.567573
0.9,1.1,15,4,0.3,30,0,51,0.7,0,58,0,0,42:53.4,08:01.7,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,58,17,-691.6324892,-690.3400267,-1046.733593
0.9,1.1,15,4,0.3,30,0,52,0.7,0,58,0,0,40:02.2,07:02.2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,58,17,-706.1420582,-704.2760746,-1067.374337
0.9,1.1,15,4,0.3,30,0,53,0.7,0,59,0,0,37:42.8,07:09.2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,59,16,-718.1073322,-716.2631242,-1093.306907
0.9,1.1,15,4,0.3,30,0,54,0.7,0,59,0,0,41:12.6,07:30.8,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,59,16,-732.9879439,-731.0407217,-1113.705707
0.9,1.1,15,4,0.3,30,0,55,0.7,0,59,0,0,44:40.5,08:30.0,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,59,16,-744.8659758,-743.049136,-1134.715356
0.9,1.1,15,4,0.3,30,0,56,0.7,0,60,0,0,43:05.9,07:57.7,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,2fbo8j836gg9il6538kav71vwdpep4basa440hve8mx2,0,30,0,0,75,30,0,0,75,30,0,60,15,-758.7304822,-756.9195847,-1159.699767
