numx,TrueGraph,NaiveRW,UINVITEnoprior,UINVITEwithprior
3,-4.94496592338,-5.49423256125,-5.76635306596,-4.24390546152
3,-3.9148967364,-5.97667482852,-8.19692001188,-4.21992139053
3,-5.91067576644,-8.36475954455,-10.4504673275,-3.98616715687
3,-4.64303658331,-7.19382586668,-7.19382586668,-4.56572794512
3,-4.0460676439,-3.66442060858,-3.93366848683,-3.80674251575
3,-3.69572833388,-4.9385938594,-5.38073668336,-3.86766135825
3,-5.56513452652,-8.4548016578,-10.9069396696,-4.06165493191
3,-3.71648868379,-5.81721278394,-6.31408117508,-3.98611602001
3,-4.9580012372,-4.34143847506,-6.11772277493,-4.14830571673
3,-3.6448460688,-4.28443782017,-4.28443782017,-3.91847049354
4,-3.88254661326,-5.89425872605,-6.4496315124,-4.64902407419
4,-3.71158357042,-3.79103770552,-5.71540272637,-4.28148657611
4,-4.94496592338,-3.71006113309,-3.78532645686,-3.87258864382
4,-3.9148967364,-5.14203321286,-6.10395215228,-4.10954302329
4,-5.91067576644,-4.28421061528,-5.60007439996,-4.1204494819
4,-4.64303658331,-6.11922300628,-6.31539364069,-4.70664953486
4,-4.0460676439,-3.6404310848,-4.49928209447,-3.79473002682
4,-4.60815661104,-4.46875799047,-5.83690217799,-3.93363937735
4,-4.64973677016,-5.9409776941,-5.9409776941,-4.60016663019
4,-3.83220632224,-3.80865504681,-14.1145106417,-3.73195321366
5,-3.88254661326,-5.72319493438,-6.75427878722,-4.61035419621
5,-3.71158357042,-4.48294945622,-5.91332157049,-3.97584898212
5,-4.94496592338,-3.74725142706,-3.75032250433,-3.8924857836
5,-3.9148967364,-4.95065039541,-6.35114017216,-5.32829996728
5,-5.33416674351,-4.967998345,-5.88826724318,-4.49382839928
5,-3.72443370235,-4.55851606535,-12.3722545769,-4.34853643074
5,-3.83169959885,-4.23384320028,-5.20802846253,-3.88792662073
5,-5.91067576644,-6.54520374865,-8.13691700396,-5.98977905139
5,-4.64303658331,-4.79070530183,-8.04633349694,-5.41550688001
5,-4.0460676439,-3.65220052636,-3.91005760142,-3.9378396063
6,-3.88254661326,-5.19453506386,-5.78772240798,-5.01827085613
6,-3.71158357042,-5.93844560626,-6.26234229344,-4.48354278643
6,-4.94496592338,-3.81662879488,-4.59569844057,-3.81939467235
6,-3.9148967364,-4.24980423998,-5.52310007851,-4.44546586476
6,-5.33416674351,-4.39029624268,-5.01777635972,-4.72560262206
6,-3.72443370235,-4.4734866712,-7.06018416146,-4.81889373585
6,-3.83169959885,-4.28002093764,-4.70072023732,-4.19233270961
6,-5.91067576644,-7.45935342525,-8.99185739483,-6.00445217379
6,-4.64303658331,-4.69159699976,-7.56507242414,-5.93283419535
6,-3.72465026616,-5.70690801541,-6.58635954936,-4.213634284
7,-3.88254661326,-5.27021161556,-4.87325975174,-4.14972020727
7,-3.71158357042,-6.55756542213,-7.47962360021,-4.56957824826
7,-4.94496592338,-4.20753687643,-3.93790702108,-3.72568081695
7,-3.9148967364,-4.64508912729,-6.03275430679,-4.61883508283
7,-5.33416674351,-4.5682811283,-5.70177785052,-4.65292706527
7,-3.72443370235,-4.41629282193,-6.36078053996,-4.87654715954
7,-3.83169959885,-4.26407741425,-3.99336957323,-3.857606628
7,-5.91067576644,-6.31917017491,-8.32222317573,-6.97135605987
7,-4.64303658331,-5.25288108729,-6.94722298653,-5.84182061911
7,-3.72465026616,-4.62297465529,-4.84291480941,-4.23381495738
8,-3.88254661326,-4.89627314506,-4.34691282082,-4.17092162122
8,-3.71158357042,-6.89725049948,-7.67916269817,-5.60764583592
8,-4.94496592338,-4.39187411135,-3.69511535446,-3.72521002889
8,-3.9148967364,-4.69430469493,-5.64058220339,-4.35484735741
8,-5.33416674351,-4.62584616605,-5.83413927325,-4.59004872771
8,-3.72443370235,-4.99449767763,-8.08885574447,-4.09226791751
8,-3.83169959885,-4.92679988686,-4.46502990275,-3.80675374489
8,-5.91067576644,-6.53472309049,-9.74391376314,-7.59762929609
8,-4.64303658331,-5.27246866449,-5.84861243697,-5.0693636568
8,-3.72465026616,-4.6537359917,-4.40349552115,-3.64477203732
9,-3.88254661326,-4.69634128874,-4.21682041979,-3.7217478977
9,-3.71158357042,-6.48110230797,-6.28443644262,-4.59222249673
9,-4.94496592338,-4.68840840681,-3.95399048638,-3.64587415496
9,-3.9148967364,-5.48375512615,-5.52885054508,-4.69893781607
9,-5.33416674351,-4.73876048137,-4.75156141865,-4.44940965793
9,-3.72443370235,-5.65751915736,-5.65265235527,-4.32883713945
9,-3.83169959885,-5.34187829756,-3.77466734425,-3.80497021007
9,-5.91067576644,-6.17698562856,-8.02352502838,-5.74376638317
9,-4.64303658331,-5.08982904626,-5.85235911467,-4.91575280364
9,-3.72465026616,-4.63326036292,-4.23185944692,-3.73731970562
10,-3.88254661326,-4.87599697707,-3.654692311,-3.64510337573
10,-3.71158357042,-5.45670492536,-3.70516215194,-3.7844783471
10,-4.94496592338,-4.593532065,-3.6390371286,-3.66763725861
10,-3.9148967364,-5.32593336164,-5.29868612418,-5.26654845859
10,-5.33416674351,-4.74516818224,-6.42234630222,-4.53002880981
10,-3.72443370235,-6.11376557187,-4.73961726471,-3.68201530937
10,-3.83169959885,-5.44826528904,-3.81460065118,-3.7582496074
10,-5.91067576644,-6.30997761172,-6.84850861498,-6.25100018754
10,-4.64303658331,-5.28078455042,-4.72810760496,-4.28054841681
10,-3.72465026616,-4.73135173841,-4.39164336136,-3.65247704438
11,-3.88254661326,-5.05370074735,-3.95624261105,-3.68335881302
11,-3.71158357042,-5.57773820342,-3.68797399647,-3.85025107754
11,-4.94496592338,-4.77024546774,-3.64212565168,-3.63699402519
11,-3.9148967364,-5.31932748139,-4.95502212573,-5.37177495909
11,-5.33416674351,-4.88947340488,-5.05476534336,-4.47755539107
11,-3.72443370235,-6.34063563049,-4.47595531285,-4.09455474297
11,-3.83169959885,-5.54250732661,-3.68923268844,-3.77332406143
11,-5.91067576644,-6.36066459767,-7.37683501764,-5.5542086837
11,-4.64303658331,-5.56009616295,-5.02450724663,-4.90336455702
11,-3.72465026616,-4.91485664233,-3.65770162583,-3.71746276206
12,-3.88254661326,-5.22593607749,-4.77017019691,-3.7600419944
12,-3.71158357042,-5.55297038613,-3.86482081341,-3.73884736441
12,-4.94496592338,-5.20509528967,-3.76827310555,-3.63654704855
