subj,link1,link2,rw,invite,irt5,irt9
S101,beet,cabbage,1,1,0,1
S101,potato,blackbean,1,1,1,1
S101,cauliflower,potato,1,1,0,1
S101,carrot,celery,1,1,1,1
S101,spinach,cauliflower,1,1,1,1
S101,squash,cabbage,1,1,0,0
S101,ocra,bellpepper,1,1,0,1
S101,broccoli,eggplant,1,1,0,0
S101,bellpepper,eggplant,1,1,1,1
S101,cucumber,onion,1,1,0,0
S101,spinach,corn,1,1,1,1
S101,beet,bellpepper,0,0,1,0
S101,artichoke,spinach,1,1,0,0
S101,carrot,cucumber,1,1,1,1
S101,kale,pea,1,1,1,1
S101,spinach,ocra,0,0,1,0
S101,beet,ocra,1,1,1,1
S101,cauliflower,broccoli,1,1,1,1
S101,parsley,bellpepper,1,1,1,1
S101,broccoli,bellpepper,0,0,1,0
S101,lettuce,corn,1,1,1,1
S101,cucumber,potato,0,0,1,0
S101,beet,onion,1,1,1,1
S101,ocra,asparagus,1,1,0,1
S101,cucumber,eggplant,1,1,1,1
S101,parsley,beet,0,0,1,0
S101,radish,onion,1,1,1,1
S101,zucchini,pumpkin,1,1,0,1
S101,zucchini,corn,1,1,1,1
S101,squash,broccoli,0,0,1,0
S101,corn,asparagus,1,1,0,0
S101,lettuce,carrot,0,0,1,0
S101,basil,broccoli,1,1,0,1
S101,cauliflower,asparagus,1,1,1,1
S101,bellpepper,onion,1,1,1,1
S101,kale,lettuce,1,1,1,1
S101,cabbage,eggplant,1,1,0,1
S101,pepper,cucumber,1,1,0,1
S101,lettuce,cucumber,1,1,0,1
S101,squash,bellpepper,1,1,1,1
S101,radish,broccoli,1,1,0,1
S101,potato,pumpkin,1,1,0,1
S101,carrot,bellpepper,0,0,1,0
S101,artichoke,ocra,1,1,1,1
S101,zucchini,potato,1,1,1,1
S101,spinach,beet,1,1,1,1
S101,kale,blackbean,0,0,1,0
S101,parsley,squash,1,1,0,1
S101,lettuce,spinach,1,1,1,1
S101,pepper,pumpkin,0,0,1,0
S101,carrot,broccoli,1,1,1,1
S101,parsley,cabbage,1,1,1,1
S101,lettuce,beet,0,0,1,0
S101,squash,onion,1,0,0,0
S101,pepper,eggplant,1,1,1,1
S101,basil,squash,1,1,1,1
S101,carrot,eggplant,0,0,1,0
S101,squash,eggplant,1,0,1,1
S101,pea,blackbean,1,1,1,1
S101,lettuce,celery,1,1,1,1
S101,carrot,beet,1,1,1,1
S102,spinach,cucumber,1,1,1,1
S102,spinach,greenbean,0,0,1,0
S102,greenpepper,greenbean,1,1,0,1
S102,broccoli,pea,0,0,1,0
S102,potato,cabbage,1,1,1,1
S102,tomato,greenbean,0,0,1,0
S102,potato,squash,1,1,1,1
S102,tomato,squash,1,1,1,1
S102,kale,carrot,1,0,1,1
S102,cabbage,zucchini,1,1,0,1
S102,potato,carrot,0,0,1,0
S102,cucumber,pickle,1,1,1,1
S102,squash,pea,1,1,1,1
S102,spinach,corn,0,0,1,0
S102,spinach,lettuce,1,1,1,1
S102,kale,cauliflower,0,0,1,0
S102,cauliflower,lettuce,1,1,0,1
S102,greenbean,pea,1,1,1,1
S102,cauliflower,collardgreen,1,1,1,1
S102,cauliflower,carrot,1,1,1,1
S102,brusselsprout,broccoli,1,0,0,0
S102,tomato,greenpepper,1,1,1,1
S102,cauliflower,broccoli,1,1,1,1
S102,corn,potato,1,0,1,1
S102,kale,cucumber,1,0,1,1
S102,tomato,corn,0,0,1,0
S102,squash,cucumber,1,1,1,1
S102,tomato,pea,0,0,1,0
S102,beet,zucchini,1,1,0,1
S102,potato,cucumber,1,0,0,0
S102,spinach,squash,0,0,1,0
S102,cauliflower,pea,0,0,1,0
S102,brusselsprout,zucchini,1,0,0,0
S102,kale,lettuce,1,1,1,1
S102,carrot,cabbage,1,1,1,1
S102,kale,spinach,1,1,1,1
S102,greenbean,lettuce,1,1,1,1
S102,tomato,potato,1,1,1,1
S102,corn,beet,1,1,1,1
S102,corn,pea,1,1,1,1
S102,squash,zucchini,1,0,0,0
S102,spinach,beet,1,1,1,1
S102,lettuce,pea,1,0,1,0
S102,beet,cucumber,1,0,0,0
S102,carrot,collardgreen,1,0,0,0
S102,brusselsprout,corn,1,1,1,1
