idx,cf,ef,numitems,persev,clustersize,clusterswitch
0,0.0,0.0,17.0,0.0,2.22513564214,7.04
1,0.0,0.01,16.94,0.0,2.48922727273,6.54
2,0.0,0.02,16.84,0.0,2.15032267732,7.4
3,0.0,0.03,16.64,0.0,2.26747258297,6.96
4,0.0,0.04,16.4,0.0,2.29082611833,6.68
5,0.0,0.05,16.28,0.0,2.32423448773,6.46
6,0.0,0.06,16.36,0.0,2.21145038295,7.06
7,0.0,0.07,16.36,0.0,2.34800505051,6.74
8,0.0,0.08,16.2,0.0,2.2407965368,7.1
9,0.0,0.09,15.98,0.0,2.2542972583,6.54
10,0.0,0.1,15.96,0.0,2.2240988456,6.6
11,0.0,0.11,15.54,0.0,2.2227959818,6.52
12,0.0,0.12,15.5,0.0,2.18074386724,6.76
13,0.0,0.13,15.66,0.0,2.37081746032,6.36
14,0.0,0.14,15.42,0.0,2.18156854257,6.74
15,0.0,0.15,15.14,0.0,2.29595454545,6.12
16,0.0,0.16,15.38,0.0,2.34272094572,6.08
17,0.0,0.17,15.26,0.0,2.36023348873,6.46
18,0.0,0.18,14.7,0.0,2.17406421356,6.58
19,0.0,0.19,15.06,0.0,2.17766522367,6.32
20,0.0,0.2,14.22,0.0,2.22537318237,5.94
21,0.0,0.21,14.98,0.0,2.2337972583,6.14
22,0.0,0.22,14.46,0.0,2.41478932179,5.66
23,0.0,0.23,14.44,0.0,2.40887157287,5.82
24,0.0,0.24,14.0,0.0,2.20714862915,5.86
25,0.0,0.25,14.26,0.0,2.15191269841,6.04
26,0.0,0.26,14.12,0.0,2.10025974026,6.2
27,0.0,0.27,14.04,0.0,2.43726984127,5.36
28,0.0,0.28,13.46,0.0,2.49138383838,5.22
29,0.0,0.29,13.6,0.0,2.04743867244,6.12
30,0.0,0.3,13.74,0.0,2.05047979798,6.24
31,0.0,0.31,13.38,0.0,2.34564285714,5.22
32,0.0,0.32,13.2,0.0,2.24434920635,5.38
33,0.0,0.33,13.02,0.0,2.1401046176,5.56
34,0.0,0.34,13.36,0.0,2.24356637807,5.42
35,0.0,0.35,13.14,0.0,2.29538888889,5.18
36,0.01,0.0,17.0,0.18,2.31068759019,6.88
37,0.01,0.01,16.86,0.1,2.36361616162,6.64
38,0.01,0.02,16.82,0.12,2.28651370851,6.84
39,0.01,0.03,16.62,0.2,2.15050793651,7.34
40,0.01,0.04,16.58,0.14,2.30417893218,6.82
41,0.01,0.05,16.62,0.04,2.29957520258,6.86
42,0.01,0.06,16.36,0.26,2.20767959818,6.94
43,0.01,0.07,16.1,0.1,2.23740692641,6.62
44,0.01,0.08,16.02,0.06,2.23774747475,6.9
45,0.01,0.09,15.94,0.2,2.25243162393,6.58
46,0.01,0.1,15.82,0.06,2.26897979798,6.46
47,0.01,0.11,15.8,0.06,2.12535353535,6.78
48,0.01,0.12,15.76,0.02,2.35165873016,6.58
49,0.01,0.13,15.56,0.16,2.48564790765,5.88
50,0.01,0.14,15.46,0.12,2.19796897547,6.48
51,0.01,0.15,15.34,0.02,2.18374458874,6.54
52,0.01,0.16,15.1,0.08,2.38211904762,5.94
53,0.01,0.17,15.04,0.14,2.28078066378,6.2
54,0.01,0.18,14.68,0.14,2.15034704185,6.38
55,0.01,0.19,14.88,0.2,2.38688344988,6.32
56,0.01,0.2,15.02,0.08,2.27279237429,6.36
57,0.01,0.21,14.6,0.16,2.1516976912,6.3
58,0.01,0.22,14.5,0.06,2.18882900433,6.18
59,0.01,0.23,14.3,0.06,2.31770923521,5.74
60,0.01,0.24,14.4,0.08,2.2752989233,6.1
61,0.01,0.25,13.9,0.08,2.46994444444,5.74
62,0.01,0.26,14.0,0.02,2.18428571429,5.76
63,0.01,0.27,13.9,0.12,2.3918968254,5.36
64,0.01,0.28,13.84,0.08,2.28221717172,5.94
65,0.01,0.29,13.32,0.12,2.14076334776,5.8
66,0.01,0.3,13.5,0.22,2.31915873016,5.4
67,0.01,0.31,13.36,0.14,2.10774236874,5.84
68,0.01,0.32,12.92,0.16,2.12904761905,5.52
69,0.01,0.33,12.98,0.14,2.15815512266,5.5
70,0.01,0.34,12.76,0.16,2.14575829726,5.62
71,0.01,0.35,12.92,0.06,2.08024025974,5.5
72,0.02,0.0,17.0,0.26,2.31459179709,6.92
73,0.02,0.01,16.9,0.18,2.32421012321,6.78
74,0.02,0.02,16.9,0.28,2.27928354978,7.02
75,0.02,0.03,16.6,0.3,2.35114718615,6.46
76,0.02,0.04,16.46,0.2,2.10760622711,7.38
77,0.02,0.05,16.38,0.24,2.48917532468,6.12
78,0.02,0.06,16.44,0.08,2.24576118326,6.76
79,0.02,0.07,16.34,0.28,2.40071067821,6.4
80,0.02,0.08,16.08,0.28,2.22949206349,6.74
81,0.02,0.09,15.96,0.16,2.16398412698,6.92
82,0.02,0.1,16.02,0.14,2.1369032634,6.92
83,0.02,0.11,15.82,0.18,2.43944805195,6.06
84,0.02,0.12,15.64,0.12,2.4968001443,6.06
85,0.02,0.13,15.2,0.18,2.1943968254,6.46
86,0.02,0.14,15.34,0.22,2.48035708736,6.2
87,0.02,0.15,15.26,0.24,2.05424531025,6.78
88,0.02,0.16,15.06,0.16,2.12664646465,6.54
89,0.02,0.17,15.24,0.34,2.42617821068,5.88
90,0.02,0.18,14.88,0.24,2.08515512266,6.66
91,0.02,0.19,14.84,0.24,2.28320634921,6.04
92,0.02,0.2,14.62,0.22,2.23140909091,6.12
93,0.02,0.21,14.24,0.2,2.17091602842,6.22
94,0.02,0.22,14.3,0.14,2.22517460317,5.94
95,0.02,0.23,14.74,0.2,2.2162039072,6.3
96,0.02,0.24,14.36,0.18,2.21672727273,5.94
97,0.02,0.25,14.02,0.2,2.23758369408,5.98
