idx,cf,ef,numitems,persev,clustersize,clusterswitch
0,0.0,0.0,17.0,0.0,2.19412842713,7.36
1,0.0,0.01,16.8,0.0,2.18983982684,7.32
2,0.0,0.02,16.72,0.0,2.15469119769,7.12
3,0.0,0.03,16.68,0.0,2.42661904762,6.56
4,0.0,0.04,16.48,0.0,2.29696969697,6.68
5,0.0,0.05,16.64,0.0,2.36614862915,6.68
6,0.0,0.06,16.12,0.0,2.61980552781,5.88
7,0.0,0.07,16.44,0.0,2.07100865801,7.4
8,0.0,0.08,15.88,0.0,2.63649206349,5.76
9,0.0,0.09,15.64,0.0,2.11827705628,6.8
10,0.0,0.1,15.96,0.0,2.21784992785,6.64
11,0.0,0.11,16.08,0.0,2.23806349206,6.68
12,0.0,0.12,15.44,0.0,2.08433910534,6.88
13,0.0,0.13,15.56,0.0,2.52381529582,6.0
14,0.0,0.14,15.68,0.0,2.26476190476,6.24
15,0.0,0.15,15.48,0.0,2.51511976912,5.84
16,0.0,0.16,15.28,0.0,2.4515007215,5.8
17,0.0,0.17,14.84,0.0,2.27422655123,6.32
18,0.0,0.18,14.56,0.0,2.61398412698,5.44
19,0.0,0.19,14.64,0.0,2.2338961039,6.2
20,0.0,0.2,15.0,0.0,2.12477056277,6.44
21,0.0,0.21,14.24,0.0,2.01521789322,6.56
22,0.0,0.22,14.0,0.0,2.05773015873,6.16
23,0.0,0.23,14.24,0.0,2.28261616162,5.96
24,0.0,0.24,14.16,0.0,2.30658730159,5.44
25,0.0,0.25,14.04,0.0,2.3270952381,5.6
26,0.0,0.26,14.24,0.0,2.33848484848,5.92
27,0.0,0.27,13.92,0.0,2.34608802309,5.68
28,0.0,0.28,14.32,0.0,2.60178388278,5.48
29,0.0,0.29,13.32,0.0,1.98613275613,6.16
30,0.0,0.3,13.64,0.0,2.52448340548,5.0
31,0.0,0.31,12.68,0.0,2.11995238095,5.4
32,0.0,0.32,12.68,0.0,2.17623809524,5.16
33,0.0,0.33,12.0,0.0,2.11753968254,5.28
34,0.0,0.34,12.92,0.0,2.09461183261,5.96
35,0.0,0.35,13.32,0.0,2.39761904762,4.84
36,0.0,0.36,12.52,0.0,2.012002886,5.96
37,0.0,0.37,12.96,0.0,2.23241269841,5.24
38,0.0,0.38,12.08,0.0,2.31442857143,4.92
39,0.0,0.39,12.2,0.0,2.31155555556,4.88
40,0.0,0.4,11.84,0.0,2.62106349206,4.72
41,0.0,0.41,12.28,0.0,2.02463492063,5.4
42,0.0,0.42,11.48,0.0,2.11661904762,4.96
43,0.0,0.43,12.16,0.0,2.5410952381,4.48
44,0.0,0.44,11.76,0.0,2.51814285714,4.4
45,0.0,0.45,10.76,0.0,1.99966666667,4.92
46,0.0,0.46,10.52,0.0,1.98533766234,4.72
47,0.0,0.47,11.16,0.0,1.99763492063,5.16
48,0.0,0.48,10.84,0.0,2.1713968254,4.8
49,0.0,0.49,10.72,0.0,2.14407936508,4.4
50,0.0,0.5,11.4,0.0,2.33065079365,4.56
51,0.0,0.51,10.32,0.0,1.90850793651,4.68
52,0.0,0.52,10.32,0.0,2.21371428571,4.04
53,0.0,0.53,9.4,0.0,2.1899047619,3.8
54,0.0,0.54,10.44,0.0,2.25060894661,4.4
55,0.0,0.55,9.88,0.0,2.09604761905,4.12
56,0.0,0.56,9.6,0.0,1.86096825397,4.52
57,0.0,0.57,9.64,0.0,2.17542857143,3.8
58,0.0,0.58,8.64,0.0,2.20852380952,4.12
59,0.0,0.59,8.36,0.0,2.04928571429,3.6
60,0.0,0.6,8.12,0.0,1.8380952381,3.8
61,0.0,0.61,8.88,0.0,1.726,4.24
62,0.0,0.62,8.16,0.0,1.91914285714,3.52
63,0.0,0.63,8.16,0.0,1.94476190476,3.52
64,0.0,0.64,8.48,0.0,1.80996825397,4.04
65,0.0,0.65,8.0,0.0,2.05433333333,3.16
66,0.0,0.66,7.8,0.0,1.96571428571,3.32
67,0.0,0.67,7.84,0.0,1.893,3.52
68,0.0,0.68,7.36,0.0,2.02714285714,2.8
69,0.0,0.69,7.08,0.0,1.79085714286,3.32
70,0.0,0.7,6.76,0.0,1.9960952381,2.84
71,0.0,0.71,6.92,0.0,1.746,3.2
72,0.0,0.72,6.96,0.0,1.84914285714,2.96
73,0.0,0.73,6.04,0.0,1.61942857143,3.28
74,0.0,0.74,5.88,0.0,1.86933333333,2.56
75,0.0,0.75,5.52,0.0,1.84114285714,2.48
76,0.0,0.76,5.92,0.0,1.98866666667,2.16
