numx,TrueGraph,NaiveRW,UINVITEnoprior,UINVITEwithprior
3,-1.55585767746,-1.92018890445,-2.22818496401,-0.836462744675
3,-0.487070823128,-2.50243785729,-4.89966581371,-0.811458801628
3,-2.41485442897,-5.15896182402,-7.55263653746,-0.562263015046
3,-1.21023079545,-3.92970247924,-3.92970247924,-1.14235529782
3,-0.625825917165,-0.151764732299,-0.507008735636,-0.35794546815
3,-0.196829457483,-1.45416104187,-1.81164513643,-0.434930756526
3,-1.99376829386,-5.27453218612,-8.22285601783,-0.642506017595
3,-0.224852067798,-2.29273396755,-2.94544417668,-0.562209123562
3,-1.46922761983,-0.93512275172,-2.68920882843,-0.735531112495
3,-0.179732169623,-0.878098457317,-0.878098457317,-0.490885987276
4,-0.419713304379,-2.39317633659,-3.11851051134,-1.21544218403
4,-0.218069971641,-0.335584588787,-2.16541902264,-0.875095417904
4,-1.55585767746,-0.215988442591,-0.327220997899,-0.440580919314
4,-0.487070823128,-1.61149497832,-2.67107017499,-0.693937612862
4,-2.41485442897,-0.877867431971,-2.03177598546,-0.705656905166
4,-1.21023079545,-2.69118356702,-2.94713916063,-1.26516796852
4,-0.625825917165,-0.128772844883,-1.08309781926,-0.340929834549
4,-1.24330372046,-1.05545033675,-2.31814577235,-0.506977978209
4,-1.21606200565,-2.45500932547,-2.45500932547,-1.17271960102
4,-0.360976498793,-0.360598494248,-12.1323746635,-0.246992278756
5,-0.419713304379,-2.17488166755,-3.4849841364,-1.18166333256
5,-0.218069971641,-1.06834660134,-2.41835404812,-0.551398400789
5,-1.55585767746,-0.269802057063,-0.274448031503,-0.462819576691
5,-0.487070823128,-1.46352906666,-2.99317896319,-1.76488386493
5,-1.77002097803,-1.47696360152,-2.38528274803,-1.07818221235
5,-0.236087886829,-1.13597029762,-10.0770689958,-0.942086470879
5,-0.391299744364,-0.826003420759,-1.66402216341,-0.457795223548
5,-2.41485442897,-3.23737983723,-4.79566793056,-2.51985660815
5,-1.21023079545,-1.33587096092,-4.64661047866,-1.8437719939
5,-0.625825917165,-0.125208127831,-0.481885846874,-0.511412367252
6,-0.419713304379,-1.65315315145,-2.25509705277,-1.5157006868
6,-0.218069971641,-2.45164871669,-2.87840170863,-1.0688841101
6,-1.55585767746,-0.371486596146,-1.16879140278,-0.375197639731
6,-0.487070823128,-0.842572597235,-1.949581545,-1.03409987153
6,-1.77002097803,-0.982416674023,-1.51532040762,-1.28132149841
6,-0.236087886829,-1.05975621076,-3.80733267321,-1.3590013191
6,-0.391299744364,-0.873602317689,-1.26009202827,-0.782406283147
6,-2.41485442897,-4.13746923005,-5.78531177413,-2.53935510657
6,-1.21023079545,-1.25226212106,-4.21053505814,-2.44420398367
6,-0.236398408441,-2.15516234418,-3.28756658482,-0.804863891221
7,-0.419713304379,-1.7151841642,-1.40278322921,-0.737044697419
7,-0.218069971641,-3.25252172878,-4.15173910001,-1.14576026075
7,-1.55585767746,-0.798452955489,-0.511483484995,-0.237879055737
7,-0.487070823128,-1.21201811528,-2.57692600733,-1.18909512093
7,-1.77002097803,-1.14461346722,-2.14899837538,-1.21883524427
7,-0.236087886829,-1.00698300198,-3.00555089197,-1.40539783875
7,-0.391299744364,-0.857287233282,-0.569858813386,-0.423184737716
7,-2.41485442897,-2.95201464363,-5.09897716171,-3.71940217939
7,-1.21023079545,-1.70073240464,-3.6946591444,-2.32452520684
7,-0.236398408441,-1.19271800877,-1.37847638205,-0.82597399928
8,-0.419713304379,-1.42101568857,-0.940496342948,-0.759676875936
8,-0.218069971641,-3.64232312411,-4.28846722712,-2.04016642739
8,-1.55585767746,-0.983919247354,-0.196021454156,-0.237202040028
8,-0.487070823128,-1.25458840342,-2.07730306837,-0.948251554855
8,-1.77002097803,-1.19522929308,-2.31456747037,-1.16381966291
8,-0.236087886829,-1.49740759737,-4.71393747316,-0.675368547207
8,-0.391299744364,-1.44496798217,-1.05204911143,-0.357961091235
8,-2.41485442897,-3.22449783005,-6.4187843194,-4.23263664685
8,-1.21023079545,-1.71707821871,-2.33335365962,-1.55502058847
8,-0.236398408441,-1.21953807713,-0.994939697776,-0.119204917834
9,-0.419713304379,-1.25633677373,-0.808208013978,-0.232255277937
9,-0.218069971641,-3.15798681275,-2.90708176385,-1.1657332121
9,-1.55585767746,-1.24952010654,-0.528416577239,-0.117983659373
9,-0.487070823128,-1.90970816752,-1.95552842174,-1.25856413797
9,-1.77002097803,-1.29246763584,-1.30325458833,-1.03773236595
9,-0.236087886829,-2.0968002035,-2.0911701711,-0.922682748295
