method,simnum,listnum,hit,miss,fa,cr,cost,startseed
rw,0,1,40,285,57,4568,342.0,0
goni,0,1,1,324,3,4622,327.0,0
chan,0,1,31,294,44,4581,338.0,0
kenett,0,1,14,311,172,4453,483.0,0
fe,0,1,3,322,0,4625,322.0,0
rw,0,2,80,245,105,4520,350.0,0
goni,0,2,11,314,9,4616,323.0,0
chan,0,2,48,277,59,4566,336.0,0
kenett,0,2,19,306,224,4401,530.0,0
fe,0,2,4,321,2,4623,323.0,0
rw,0,3,104,221,165,4460,386.0,0
goni,0,3,19,306,19,4606,325.0,0
chan,0,3,47,278,69,4556,347.0,0
kenett,0,3,23,302,256,4369,558.0,0
fe,0,3,6,319,3,4622,322.0,0
rw,0,4,133,192,215,4410,407.0,0
goni,0,4,21,304,14,4611,318.0,0
chan,0,4,43,282,80,4545,362.0,0
kenett,0,4,24,301,267,4358,568.0,0
fe,0,4,8,317,4,4621,321.0,0
rw,0,5,164,161,263,4362,424.0,0
goni,0,5,30,295,22,4603,317.0,0
chan,0,5,37,288,82,4543,370.0,0
kenett,0,5,17,308,274,4351,582.0,0
fe,0,5,8,317,7,4618,324.0,0
rw,0,6,184,141,306,4319,447.0,0
goni,0,6,38,287,27,4598,314.0,0
chan,0,6,44,281,70,4555,351.0,0
kenett,0,6,48,277,246,4379,523.0,0
fe,0,6,10,315,8,4617,323.0,0
rw,0,7,195,130,354,4271,484.0,0
goni,0,7,39,286,36,4589,322.0,0
chan,0,7,42,283,74,4551,357.0,0
kenett,0,7,46,279,248,4377,527.0,0
fe,0,7,11,314,10,4615,324.0,0
rw,0,8,210,115,400,4225,515.0,0
goni,0,8,52,273,35,4590,308.0,0
chan,0,8,47,278,74,4551,352.0,0
kenett,0,8,47,278,247,4378,525.0,0
fe,0,8,11,314,13,4612,327.0,0
rw,0,9,222,103,448,4177,551.0,0
goni,0,9,56,269,38,4587,307.0,0
chan,0,9,46,279,65,4560,344.0,0
kenett,0,9,49,276,245,4380,521.0,0
fe,0,9,11,314,16,4609,330.0,0
rw,0,10,234,91,486,4139,577.0,0
goni,0,10,66,259,40,4585,299.0,0
chan,0,10,47,278,63,4562,341.0,0
kenett,0,10,45,280,249,4376,529.0,0
fe,0,10,14,311,16,4609,327.0,0
rw,0,11,248,77,529,4096,606.0,0
goni,0,11,75,250,51,4574,301.0,0
chan,0,11,49,276,53,4572,329.0,0
kenett,0,11,57,268,237,4388,505.0,0
fe,0,11,16,309,17,4608,326.0,0
rw,0,12,255,70,565,4060,635.0,0
goni,0,12,75,250,52,4573,302.0,0
chan,0,12,47,278,54,4571,332.0,0
kenett,0,12,60,265,234,4391,499.0,0
fe,0,12,18,307,18,4607,325.0,0
rw,0,13,261,64,606,4019,670.0,0
goni,0,13,77,248,50,4575,298.0,0
chan,0,13,50,275,52,4573,327.0,0
kenett,0,13,55,270,239,4386,509.0,0
fe,0,13,19,306,20,4605,326.0,0
rw,0,14,266,59,643,3982,702.0,0
goni,0,14,81,244,48,4577,292.0,0
chan,0,14,52,273,52,4573,325.0,0
kenett,0,14,51,274,243,4382,517.0,0
fe,0,14,21,304,21,4604,325.0,0
rw,0,15,274,51,681,3944,732.0,0
goni,0,15,88,237,51,4574,288.0,0
chan,0,15,51,274,52,4573,326.0,0
kenett,0,15,61,264,233,4392,497.0,0
fe,0,15,23,302,22,4603,324.0,0
rw,0,16,277,48,721,3904,769.0,0
goni,0,16,91,234,55,4570,289.0,0
chan,0,16,51,274,52,4573,326.0,0
