method,simnum,listnum,hit,miss,fa,cr,cost,startseed
uinvite_flat,0,1,34,174,26,201,200.0,0
uinvite_hierarchical,0,1,34,174,26,201,200.0,0
uinvite_flat,0,2,58,150,48,179,198.0,0
uinvite_hierarchical,0,2,16,192,17,210,209.0,0
uinvite_flat,0,3,76,132,53,174,185.0,0
uinvite_hierarchical,0,3,14,194,8,219,202.0,0
uinvite_flat,0,4,96,112,55,172,167.0,0
uinvite_hierarchical,0,4,8,200,5,222,205.0,0
uinvite_flat,0,5,113,95,67,160,162.0,0
uinvite_hierarchical,0,5,14,194,2,225,196.0,0
uinvite_flat,0,6,122,86,71,156,157.0,0
uinvite_hierarchical,0,6,7,201,5,222,206.0,0
uinvite_flat,0,7,131,77,75,152,152.0,0
uinvite_hierarchical,0,7,12,196,3,224,199.0,0
uinvite_flat,0,8,140,68,77,150,145.0,0
uinvite_hierarchical,0,8,1,207,2,225,209.0,0
uinvite_flat,0,9,147,61,86,141,147.0,0
uinvite_hierarchical,0,9,3,205,0,227,205.0,0
uinvite_flat,0,10,145,63,78,149,141.0,0
uinvite_hierarchical,0,10,9,199,1,226,200.0,0
uinvite_flat,0,11,157,51,76,151,127.0,0
uinvite_hierarchical,0,11,6,202,0,227,202.0,0
uinvite_flat,0,12,162,46,77,150,123.0,0
uinvite_hierarchical,0,12,4,204,0,227,204.0,0
uinvite_flat,0,13,167,41,82,145,123.0,0
uinvite_hierarchical,0,13,2,206,0,227,206.0,0
uinvite_flat,0,14,165,43,82,145,125.0,0
uinvite_hierarchical,0,14,4,204,0,227,204.0,0
uinvite_flat,0,15,168,40,81,146,121.0,0
uinvite_hierarchical,0,15,3,205,1,226,206.0,0
uinvite_flat,0,16,170,38,83,144,121.0,0
uinvite_hierarchical,0,16,1,207,0,227,207.0,0
uinvite_flat,0,17,171,37,87,140,124.0,0
uinvite_hierarchical,0,17,0,208,1,226,209.0,0
uinvite_flat,0,18,172,36,91,136,127.0,0
uinvite_hierarchical,0,18,1,207,1,226,208.0,0
uinvite_flat,0,19,170,38,87,140,125.0,0
uinvite_hierarchical,0,19,2,206,1,226,207.0,0
uinvite_flat,0,20,173,35,87,140,122.0,0
uinvite_hierarchical,0,20,3,205,0,227,205.0,0
uinvite_flat,0,21,173,35,94,133,129.0,0
uinvite_hierarchical,0,21,2,206,0,227,206.0,0
uinvite_flat,0,22,174,34,92,135,126.0,0
uinvite_hierarchical,0,22,2,206,0,227,206.0,0
uinvite_flat,0,23,177,31,94,133,125.0,0
uinvite_hierarchical,0,23,2,206,0,227,206.0,0
uinvite_flat,0,24,174,34,93,134,127.0,0
uinvite_hierarchical,0,24,0,208,0,227,208.0,0
uinvite_flat,0,25,173,35,93,134,128.0,0
uinvite_hierarchical,0,25,0,208,0,227,208.0,0
uinvite_flat,0,26,180,28,96,131,124.0,0
uinvite_hierarchical,0,26,3,205,0,227,205.0,0
uinvite_flat,0,27,181,27,96,131,123.0,0
uinvite_hierarchical,0,27,0,208,0,227,208.0,0
uinvite_flat,0,28,183,25,97,130,122.0,0
uinvite_hierarchical,0,28,1,207,0,227,207.0,0
uinvite_flat,0,29,183,25,99,128,124.0,0
uinvite_hierarchical,0,29,1,207,0,227,207.0,0
uinvite_flat,0,30,184,24,99,128,123.0,0
uinvite_hierarchical,0,30,2,206,0,227,206.0,0
uinvite_flat,0,31,184,24,98,129,122.0,0
uinvite_hierarchical,0,31,1,207,0,227,207.0,0
uinvite_flat,0,32,186,22,98,129,120.0,0
uinvite_hierarchical,0,32,0,208,0,227,208.0,0
uinvite_flat,0,33,189,19,102,125,121.0,0
uinvite_hierarchical,0,33,0,208,0,227,208.0,0
uinvite_flat,0,34,190,18,105,122,123.0,0
uinvite_hierarchical,0,34,0,208,1,226,209.0,0
uinvite_flat,0,35,191,17,106,121,123.0,0
uinvite_hierarchical,0,35,1,207,0,227,207.0,0
uinvite_flat,0,36,194,14,110,117,124.0,0
uinvite_hierarchical,0,36,0,208,0,227,208.0,0
uinvite_flat,0,37,196,12,115,112,127.0,0
uinvite_hierarchical,0,37,1,207,0,227,207.0,0
