subj,steps,meanirt,sdirt
S101,5.49782117976,5.16844791667,3.8658324913
S102,3.34060051726,6.65595384615,7.9171726644
S103,2.75430927696,3.3912,2.95387902738
S104,3.2455368226,4.52606363636,3.30593035531
S105,3.7598674451,5.71762068966,6.91099085871
S106,3.13879014367,7.07579310345,6.48358884165
S107,3.46909794418,3.80231884058,2.950572865
S108,2.97401304182,4.12865079365,3.59823442224
S109,2.82206788525,5.72004878049,12.4383427401
S110,4.79700208758,2.50314018692,2.73433287136
S111,3.2006029362,8.6427755102,14.2511135609
S112,4.13555135228,4.44657758621,5.67001937166
S113,4.34877125602,3.11794690265,6.06576360285
S114,2.96694133126,4.22826956522,4.07414947181
S115,3.13262158761,7.2268358209,15.4267774404
S116,3.76049072945,4.54817592593,5.19061250904
S117,3.11941762034,3.78325,6.08499813639
S118,3.19526646282,4.54138888889,11.6402119069
S119,3.06722252364,4.2996125,8.15610152201
S120,3.20225877004,4.12855462185,4.8983397508
