irts.irt_weight,irts.beta,tg.numnodes,tg.numlinks,tg.prob_rewire,numedges,graph_seed,td.numx,td.trim,x_seed,truegraph,truegraphll,truegraphll_prior,truegraphll_irt,truegraphll_irt_prior,cost_rw,time_rw,bestgraph_rw,hit_rw,miss_rw,fa_rw,cr_rw,ll_rw,cost_uinvite,time_uinvite,bestgraph_uinvite,hit_uinvite,miss_uinvite,fa_uinvite,cr_uinvite,ll_uinvite,cost_uinvite_prior,time_uinvite_prior,bestgraph_uinvite_prior,hit_uinvite_prior,miss_uinvite_prior,fa_uinvite_prior,cr_uinvite_prior,ll_uinvite_prior,cost_uinvite_irt,time_uinvite_irt,bestgraph_uinvite_irt,hit_uinvite_irt,miss_uinvite_irt,fa_uinvite_irt,cr_uinvite_irt,ll_uinvite_irt,cost_uinvite_irt_prior,time_uinvite_irt_prior,bestgraph_uinvite_irt_prior,hit_uinvite_irt_prior,miss_uinvite_irt_prior,fa_uinvite_irt_prior,cr_uinvite_irt_prior,ll_uinvite_irt_prior
0.9,0.909090909091,10,4,0.3,20,1,3,0.7,1,10!1cjvvbks697kbwyq27mu,-33.7267884779,-37.3427151376,-32.6775736221,-36.2935002818,13,0:00:00.001469,10!1a5jyzox4sxem241vgaa,11,9,4,21,-23.299775808,11,0:00:02.048498,10!1a5gs5k383fi1ridsvmq,10,10,1,24,-21.3936421218,14,0:00:06.403380,10!1a5jil3ou30y2j8uizw2,10,10,4,21,-26.6268439133,11,0:00:05.068004,10!1a5gs5k383fi1ridsvmq,10,10,1,24,-22.1257382379,14,0:00:07.282807,10!1a5jil3ou30y2j8uizw2,10,10,4,21,-26.9280120133
0.9,0.909090909091,10,4,0.3,20,2,3,0.7,2,10!1bdcfsq311nvbaub3m02,-33.6294627711,-37.5188264578,-32.6681736919,-36.5575373786,13,0:00:00.001332,10!1lxkcqnk3lrxba16tteq,11,9,4,21,-23.3226825305,13,0:00:01.974946,10!1e91e4ukw9uuj89hd2qq,10,10,3,22,-22.1680793891,12,0:00:02.928578,10!1e91e4ukw9uuja8ngxeq,11,9,3,22,-26.1421310569,13,0:00:03.722041,10!1e91e4ukw9uuj89hd2qq,10,10,3,22,-23.2484627501,12,0:00:04.838010,10!1e91e4ukw9uuja8ngxeq,11,9,3,22,-27.0814881601
0.9,0.909090909091,10,4,0.3,20,3,3,0.7,3,10!li82lag4srxnp1zo1t2,-34.1062616441,-37.8170746129,-33.3681739824,-37.0789869512,15,0:00:00.001337,10!axlamg6o56y3grswtmq,10,10,5,20,-21.0360046875,14,0:00:01.573944,10!9qdty1e0jn7y6xdruv6,9,11,3,22,-20.6618306324,13,0:00:02.977044,10!9z0x9yt8003mr90wema,10,10,3,22,-24.3932881319,15,0:00:03.674189,10!axlamg6o56y3grswtmq,10,10,5,20,-21.7717394178,13,0:00:05.335283,10!9z0x9yt8003mr90wema,10,10,3,22,-25.3311111581
0.9,0.909090909091,10,4,0.3,20,4,3,0.7,4,10!1i78vlcqboc3z7djg7ws,-32.7324679889,-36.3011821638,-33.9641819665,-37.5328961414,14,0:00:00.001416,10!g7lgr6fai86orxe4rgm,11,9,5,20,-23.0794577479,16,0:00:02.049117,10!4m6h7q0r5rwhas6y2u,7,13,3,22,-21.0216189036,15,0:00:03.308537,10!lwdhejcb8o7ll2czra,10,10,5,20,-26.8300542201,14,0:00:04.127610,10!fqb9qzrt692g7v3p24m,10,10,4,21,-24.650120249,15,0:00:05.894708,10!fqb9qzss7lkphfqujuu,10,10,5,20,-28.5196855314
0.9,0.909090909091,10,4,0.3,20,5,3,0.7,5,10!wyx8wow9xehxoqcwhpm,-28.7862509848,-33.6581117267,-28.6742855391,-33.546146281,9,0:00:00.001381,10!wyb688vvlwd8c7bn2n6,12,8,1,24,-22.3498522068,10,0:00:01.781213,10!wyb688vvlla4sxczbb6,11,9,1,24,-21.9897308695,9,0:00:03.452404,10!wyb688vvlwd8c7bn2n6,12,8,1,24,-26.2259266415,10,0:00:03.598295,10!wyb688vvlla4sxczbb6,11,9,1,24,-23.2210679561,9,0:00:04.974101,10!wyb688vvlwd8c7bn2n6,12,8,1,24,-27.146565682
0.9,0.909090909091,10,4,0.3,20,6,3,0.7,6,10!1huo8xh469r0sq2t7tba,-32.3381018482,-36.8663301691,-32.4721470145,-37.0003753355,15,0:00:00.001406,10!ux60ss9tn2o65p3yi76,10,10,5,20,-23.9062590594,14,0:00:01.830889,10!usuh4mn2bycvw6um7fm,9,11,3,22,-22.8234758789,15,0:00:03.391783,10!ux60ss9tn2mm28p6xeq,10,10,5,20,-27.0096468056,13,0:00:04.159604,10!usuh4mn2bycvx6d6eqq,10,10,3,22,-25.6877091986,13,0:00:11.384556,10!ux60slco2qyx8wmm4o2,11,9,4,21,-29.5593801799
0.9,0.909090909091,10,4,0.3,20,7,3,0.7,7,10!1eygk9qaroxzci55e0zq,-31.3523505233,-34.8892829429,-31.0879257648,-34.6248581844,12,0:00:00.001364,10!1a6798wobg8qcz83dvqe,12,8,4,21,-25.0204629678,10,0:00:01.919778,10!1a64tr3fss1rstyiv4w2,11,9,1,24,-23.0494815753,8,0:00:04.897107,10!1b4p72t4mlhaq3t15vnq,13,7,1,24,-27.8897923522,10,0:00:04.697400,10!1e0eavsq8pyc40htw8le,11,9,1,24,-24.3920603193,9,0:00:05.565398,10!1a64tr3g1jdx57k8yu2u,13,7,2,23,-29.5599929927
0.9,0.909090909091,10,4,0.3,20,8,3,0.7,8,10!g7vopvgbwr9j6esatc6,-31.8502781106,-35.4189922855,-31.3466584562,-34.9153726311,14,0:00:00.001371,10!n6qxggm6525m600mhhk,11,9,5,20,-24.4234897587,15,0:00:01.640486,10!n6qxggm62lgtg02fz7s,10,10,5,20,-24.3467096203,13,0:00:03.799995,10!n6h7ipcib4owt9wzdag,12,8,5,20,-29.3381765153,16,0:00:03.839074,10!n6qxgged83wh1y6mhvs,9,11,5,20,-24.6507276279,14,0:00:06.081205,10!n6qxssfq2zrm7xxfitk,12,8,6,19,-29.6054504088
0.9,0.909090909091,10,4,0.3,20,9,3,0.7,9,10!10t4aj61qcrq3cmcb5om,-29.9532073823,-35.2436786153,-30.4907747868,-35.7812460198,11,0:00:00.001363,10!3v6bwi6knwwlizvyq6e,11,9,2,23,-19.3653201779,15,0:00:02.903484,10!3uwlxldhto5uik7xyiu,8,12,3,22,-17.4389647749,11,0:00:02.952309,10!3v6bwi6knwwlizvyq6e,11,9,2,23,-22.8880385753,12,0:00:04.019597,10!3uwlx7j6nsjmx4w83k6,10,10,2,23,-21.1970205138,11,0:00:04.948116,10!3v6bwi6knwwlizvyq6e,11,9,2,23,-24.8521201441
0.9,0.909090909091,10,4,0.3,20,11,3,0.7,11,10!zlx53gywt26gd63ot92,-32.2338909509,-35.7735276297,-31.6871024038,-35.2267390826,12,0:00:00.001413,10!1a654rqfvifk9d2ww02c,11,9,3,22,-22.1237138053,11,0:00:02.852527,10!ut34tvv8me7hpxq1bv8,11,9,2,23,-21.8728780932,12,0:00:03.150981,10!1a654rqjrnu9ud3i9emc,11,9,3,22,-26.5164388889,11,0:00:04.182390,10!ut34tvv8me7hpxq1bv8,11,9,2,23,-22.9257708171,11,0:00:10.675271,10!ut34tvv8me7hpxq1bv8,11,9,2,23,-26.9480267877
0.9,0.909090909091,10,4,0.3,20,1,4,0.7,1,10!1cjvvbks697kbwyq27mu,-43.2522769619,-46.8088615624,-42.0129041994,-45.5694887998,10,0:00:00.001810,10!1cjywaz57hlh114u92ya,14,6,4,21,-33.7911149982,9,0:00:02.732157,10!hrm8ovyr8k1ct3th6oy,12,8,1,24,-31.4934689284,9,0:00:03.798598,10!hrm8ovyr8k1ct3th6oy,12,8,1,24,-35.4720100032,11,0:00:05.492673,10!1amteb85wwp0b708i8ma,11,9,2,23,-31.7966201577,10,0:00:07.760215,10!hrm8ovyr8k1qu7qb8du,12,8,2,23,-36.464872489
0.9,0.909090909091,10,4,0.3,20,2,4,0.7,2,10!1bdcfsq311nvbaub3m02,-43.8134435831,-47.6477329861,-42.4849501598,-46.3192395628,11,0:00:00.001793,10!1mw4vpdsoqz3bm48g1sy,14,6,5,20,-36.8541709602,10,0:00:02.698920,10!1f7lx3kthf20jjd0f3tu,13,7,3,22,-34.8374331248,11,0:00:06.926140,10!1f7lx3dwbu46nqfnuaw2,13,7,4,21,-39.1925584662,10,0:00:06.410624,10!1f7lx3kthf20jjd0f3tu,13,7,3,22,-35.1444663047,8,0:00:07.586321,10!1f7lx3kthhipcbc4pgrm,15,5,3,22,-39.2834568269
0.9,0.909090909091,10,4,0.3,20,3,4,0.7,3,10!li82lag4srxnp1zo1t2,-43.2615368258,-46.8911480598,-42.8379974714,-46.4676087054,10,0:00:00.001833,10!axlamgakddfyr69u1wm,15,5,5,20,-37.2897536487,11,0:00:02.641390,10!9z0x9yx45es1nxnnl6u,12,8,3,22,-35.8410998705,11,0:00:04.395579,10!9z0x9yx45es1nxnnl6u,12,8,3,22,-39.8704836314,12,0:00:06.160049,10!9z0x9yx45esfp1khmvq,12,8,4,21,-36.2013006969,10,0:00:07.274354,10!9z0x9yx45etlsdkzdae,13,7,3,22,-40.2333715083
0.9,0.909090909091,10,4,0.3,20,4,4,0.7,4,10!1i78vlcqboc3z7djg7ws,-41.5958107255,-45.101658168,-43.1749493766,-46.6807968191,13,0:00:00.001776,10!g7lgr6j6nmwnt1wc7pi,12,8,5,20,-32.7183122199,14,0:00:03.173660,10!d99t5947zp2na9l3ie,9,11,3,22,-31.6529174352,13,0:00:04.370635,10!d9a5h44uvsj10k7wue,11,9,4,21,-35.4718949275,13,0:00:10.091664,10!fqb9qzuqaba53wouw3q,11,9,4,21,-34.1936938829,10,0:00:09.310269,10!fqba2jy7cgt7ttwjbpi,12,8,2,23,-37.8082247241
