probRewire,numNodesInput,numlinks,theta,numX,propX,startNode,numsamples,numgraphs,xlen,spearman,rank,numnodesPost,clusterSpearman,time
0.2,20,4,0.5,1,0.3,random,100,100,6,-0.61273686654466175,38,6,-0.54076632272499725,2.746124029159546
0.2,20,4,0.5,1,0.3,fixed,100,100,6,-0.13835537268856155,67,6,-0.58208045361097716,2.8255698680877686
0.2,20,4,0.5,1,0.4,random,100,100,8,-0.437228554879312,86,8,-0.25958046014493913,4.445513010025024
0.2,20,4,0.5,1,0.4,fixed,100,100,8,-0.51214963282867854,61,8,-0.33448023333875704,4.317990064620972
0.2,20,4,0.5,1,0.5,random,100,100,10,-0.39665757663656093,27,10,-0.20404579879450388,5.996644973754883
0.2,20,4,0.5,1,0.5,fixed,100,100,10,-0.30581769076593107,68,10,-0.21933036964900299,5.988953113555908
0.2,20,4,0.5,1,0.6,random,100,100,12,-0.5781483200614701,45,12,-0.25251150389658505,7.7014641761779785
0.2,20,4,0.5,1,0.6,fixed,100,100,12,-0.40231266854861242,57,12,-0.31854876520074638,7.648927927017212
0.2,20,4,0.5,1,0.7,random,100,100,14,-0.23870130551774316,62,14,-0.15962001837981349,9.370383977890015
0.2,20,4,0.5,1,0.7,fixed,100,100,14,-0.38649560626198765,33,14,-0.27942173791950192,9.297666072845459
0.2,20,4,0.5,1,0.8,random,100,100,16,-0.43637408724508819,34,16,0.049770320848891395,11.152929067611694
0.2,20,4,0.5,1,0.8,fixed,100,100,16,-0.33192234628345607,51,16,-0.14582348421317901,11.272797107696533
0.2,20,4,0.5,1,0.9,random,100,100,18,-0.29459495951932035,53,18,-0.084220443359235037,12.853410005569458
0.2,20,4,0.5,1,0.9,fixed,100,100,18,-0.43750621940795636,63,18,-0.23563121833894424,12.97521710395813
0.2,20,4,0.5,1,1.0,random,100,100,20,-0.34373578034144259,76,20,-0.31003165367505525,14.344974994659424
0.2,20,4,0.5,1,1.0,fixed,100,100,20,-0.19695768869364602,72,20,-0.11010633191710327,14.966109991073608
0.2,20,4,0.5,2,0.3,random,100,100,6,-0.26413939166383488,84,9,-0.67455151189972395,7.49514102935791
0.2,20,4,0.5,2,0.3,fixed,100,100,6,-0.69639899928542992,4,9,-0.64599469030013268,5.798142910003662
0.2,20,4,0.5,2,0.4,random,100,100,8,-0.2200435819605838,94,14,-0.48109887310928878,11.094949007034302
0.2,20,4,0.5,2,0.4,fixed,100,100,8,-0.55143239046975456,41,13,-0.30751319663339843,12.054284811019897
0.2,20,4,0.5,2,0.5,random,100,100,10,-0.30112517229474933,84,16,-0.18629045340871556,12.706460952758789
0.2,20,4,0.5,2,0.5,fixed,100,100,10,-0.16747192571796965,101,13,-0.36809812271028497,10.95384693145752
0.2,20,4,0.5,2,0.6,random,100,100,12,-0.20117357165972258,37,18,-0.25045605109575758,16.06564497947693
0.2,20,4,0.5,2,0.6,fixed,100,100,12,-0.37854721573243755,53,17,-0.30085389051781081,16.92735004425049
0.2,20,4,0.5,2,0.7,random,100,100,14,-0.52175489690982579,48,20,-0.22541854185418542,19.086189031600952
0.2,20,4,0.5,2,0.7,fixed,100,100,14,-0.55946865680446756,30,18,-0.36004800480048005,14.128466844558716
0.2,20,4,0.5,2,0.8,random,100,100,16,-0.53170588845390332,8,18,-0.30784370790329951,16.601578950881958
0.2,20,4,0.5,2,0.8,fixed,100,100,16,-0.42612390984793008,15,19,-0.24576057605760576,19.635910034179688
0.2,20,4,0.5,2,0.9,random,100,100,18,-0.33568920170866356,3,20,-0.085760576057605772,16.825525999069214
0.2,20,4,0.5,2,0.9,fixed,100,100,18,-0.32949418963873162,4,20,-0.31619561956195619,18.595867156982422
0.2,20,4,0.5,2,1.0,random,100,100,20,-0.41817430480238088,1,20,-0.15055505550555057,20.155414819717407
0.2,20,4,0.5,2,1.0,fixed,100,100,20,-0.37439758109775279,11,20,-0.46036603660366038,23.810043811798096
0.2,20,4,0.5,3,0.3,random,100,100,6,-0.44716418711502376,62,14,-0.36127731569364097,9.582149028778076
0.2,20,4,0.5,3,0.3,fixed,100,100,6,-0.42354174364845293,49,10,-0.18620755893326499,8.956487894058228
0.2,20,4,0.5,3,0.4,random,100,100,8,-0.46135169796723291,51,17,-0.38383529262671862,12.800715923309326
0.2,20,4,0.5,3,0.4,fixed,100,100,8,-0.47497198505547444,8,11,-0.26957500115546357,10.998193979263306
0.2,20,4,0.5,3,0.5,random,100,100,10,-0.51753825021159139,20,18,-0.28312116148090677,19.06724786758423
0.2,20,4,0.5,3,0.5,fixed,100,100,10,-0.48840744936100589,6,17,-0.25779332609720707,20.993088960647583
0.2,20,4,0.5,3,0.6,random,100,100,12,-0.24593740730195265,7,16,-0.37491861661919912,22.347981929779053
0.2,20,4,0.5,3,0.6,fixed,100,100,12,-0.55614247098278669,3,18,-0.17833783378337834,19.454578161239624
0.2,20,4,0.5,3,0.7,random,100,100,14,-0.50941832419049471,2,20,-0.21722172217221722,21.07157802581787
0.2,20,4,0.5,3,0.7,fixed,100,100,14,-0.38055513651438089,24,19,-0.38148329278087334,21.348335027694702
0.2,20,4,0.5,3,0.8,random,100,100,16,-0.54259252579318851,1,20,-0.31828382838283831,23.847336053848267
0.2,20,4,0.5,3,0.8,fixed,100,100,16,-0.58309262851186305,1,20,-0.22557455745574559,28.063313007354736
0.2,20,4,0.5,3,0.9,random,100,100,18,-0.46368279878417101,1,20,-0.39109510951095111,27.350881099700928
0.2,20,4,0.5,3,0.9,fixed,100,100,18,-0.46368365891580482,1,20,-0.42479447944794479,28.46697998046875
0.2,20,4,0.5,3,1.0,random,100,100,20,-0.29092818296203909,1,20,-0.33552955295529557,28.3675479888916
0.2,20,4,0.5,3,1.0,fixed,100,100,20,-0.45874577735301952,1,20,-0.42885088508850888,29.399763822555542
0.2,20,4,0.5,4,0.3,random,100,100,6,-0.44346820039532753,41,14,-0.57360866217694384,10.063817977905273
0.2,20,4,0.5,4,0.3,fixed,100,100,6,-0.60259110467803745,33,13,-0.64100763900525815,14.753228902816772
0.2,20,4,0.5,4,0.4,random,100,100,8,-0.61820162061965722,6,15,-0.38858919046118423,17.199347972869873
0.2,20,4,0.5,4,0.4,fixed,100,100,8,-0.67921019734986343,2,16,-0.51898745571027383,23.710460901260376
0.2,20,4,0.5,4,0.5,random,100,100,10,-0.61338381270559417,7,19,-0.42767476747674771,21.067511081695557
0.2,20,4,0.5,4,0.5,fixed,100,100,10,-0.49584859433472256,15,19,-0.33515751575157515,21.985077142715454
0.2,20,4,0.5,4,0.6,random,100,100,12,-0.44469698254899287,1,20,-0.24836483648364838,26.060765981674194
0.2,20,4,0.5,4,0.6,fixed,100,100,12,-0.47035023468410342,1,18,-0.39728772877287732,31.880847930908203
0.2,20,4,0.5,4,0.7,random,100,100,14,-0.38000884729136714,1,19,-0.38310231023102315,28.76158881187439
0.2,20,4,0.5,4,0.7,fixed,100,100,14,-0.54079640117705763,1,20,-0.33604560456045607,29.44060206413269
0.2,20,4,0.5,4,0.8,random,100,100,16,-0.20801907056983993,1,20,0.0045964596459645967,31.707154035568237
0.2,20,4,0.5,4,0.8,fixed,100,100,16,-0.52894441836818862,1,20,-0.50009000900090017,30.270673990249634
0.2,20,4,0.5,4,0.9,random,100,100,18,-0.42615463006950394,1,20,-0.50949894989498956,35.98495316505432
0.2,20,4,0.5,4,0.9,fixed,100,100,18,-0.46143304372606297,1,20,-0.48631263126312629,34.89420008659363
0.2,20,4,0.5,4,1.0,random,100,100,20,-0.54870947743010712,1,20,-0.46983498349834985,36.93429708480835
