method,simnum,listnum,hit,miss,fa,cr,cost,startseed
uinvite_hierarchical,0,1,0,393,0,12327,393.0,0
uinvite_hierarchical,0,10,207,186,56,12271,242.0,0
uinvite_hierarchical,0,11,220,173,56,12271,229.0,0
uinvite_hierarchical,0,12,212,181,64,12263,245.0,0
uinvite_hierarchical,0,13,208,185,64,12263,249.0,0
uinvite_hierarchical,0,14,222,171,58,12269,229.0,0
uinvite_hierarchical,0,15,224,169,65,12262,234.0,0
uinvite_hierarchical,0,16,222,171,59,12268,230.0,0
uinvite_hierarchical,0,17,225,168,61,12266,229.0,0
uinvite_hierarchical,0,18,228,165,54,12273,219.0,0
uinvite_hierarchical,0,19,225,168,43,12284,211.0,0
uinvite_hierarchical,0,2,38,355,12,12315,367.0,0
uinvite_hierarchical,0,20,234,159,58,12269,217.0,0
uinvite_hierarchical,0,21,227,166,47,12280,213.0,0
uinvite_hierarchical,0,22,237,156,43,12284,199.0,0
uinvite_hierarchical,0,23,237,156,40,12287,196.0,0
uinvite_hierarchical,0,24,243,150,42,12285,192.0,0
uinvite_hierarchical,0,25,240,153,43,12284,196.0,0
uinvite_hierarchical,0,26,247,146,47,12280,193.0,0
uinvite_hierarchical,0,27,244,149,42,12285,191.0,0
uinvite_hierarchical,0,28,245,148,50,12277,198.0,0
uinvite_hierarchical,0,29,242,151,41,12286,192.0,0
uinvite_hierarchical,0,3,88,305,30,12297,335.0,0
uinvite_hierarchical,0,30,252,141,43,12284,184.0,0
uinvite_hierarchical,0,31,247,146,38,12289,184.0,0
uinvite_hierarchical,0,32,257,136,35,12292,171.0,0
uinvite_hierarchical,0,33,255,138,41,12286,179.0,0
uinvite_hierarchical,0,34,252,141,42,12285,183.0,0
uinvite_hierarchical,0,35,253,140,40,12287,180.0,0
uinvite_hierarchical,0,36,257,136,41,12286,177.0,0
uinvite_hierarchical,0,37,258,135,37,12290,172.0,0
uinvite_hierarchical,0,38,254,139,31,12296,170.0,0
uinvite_hierarchical,0,39,264,129,40,12287,169.0,0
uinvite_hierarchical,0,4,118,275,31,12296,306.0,0
uinvite_hierarchical,0,40,263,130,37,12290,167.0,0
uinvite_hierarchical,0,41,251,142,35,12292,177.0,0
uinvite_hierarchical,0,42,262,131,36,12291,167.0,0
uinvite_hierarchical,0,43,262,131,39,12288,170.0,0
uinvite_hierarchical,0,44,254,139,40,12287,179.0,0
uinvite_hierarchical,0,45,263,130,35,12292,165.0,0
uinvite_hierarchical,0,46,258,135,35,12292,170.0,0
uinvite_hierarchical,0,47,269,124,35,12292,159.0,0
uinvite_hierarchical,0,48,262,131,35,12292,166.0,0
uinvite_hierarchical,0,49,262,131,41,12286,172.0,0
uinvite_hierarchical,0,5,134,259,45,12282,304.0,0
uinvite_hierarchical,0,6,155,238,58,12269,296.0,0
uinvite_hierarchical,0,7,169,224,66,12261,290.0,0
uinvite_hierarchical,0,8,183,210,57,12270,267.0,0
uinvite_hierarchical,0,9,196,197,63,12264,260.0,0
uinvite_hierarchical,1,1,0,393,0,12327,393.0,3
uinvite_hierarchical,1,10,178,215,47,12280,262.0,30
uinvite_hierarchical,1,11,190,203,53,12274,256.0,33
uinvite_hierarchical,1,12,195,198,55,12272,253.0,36
uinvite_hierarchical,1,13,208,185,57,12270,242.0,39
uinvite_hierarchical,1,14,207,186,59,12268,245.0,42
uinvite_hierarchical,1,15,215,178,55,12272,233.0,45
uinvite_hierarchical,1,16,220,173,48,12279,221.0,48
uinvite_hierarchical,1,17,212,181,45,12282,226.0,51
uinvite_hierarchical,1,18,238,155,49,12278,204.0,54
uinvite_hierarchical,1,19,236,157,59,12268,216.0,57
uinvite_hierarchical,1,2,39,354,8,12319,362.0,6
uinvite_hierarchical,1,20,244,149,57,12270,206.0,60
uinvite_hierarchical,1,21,236,157,60,12267,217.0,63
uinvite_hierarchical,1,22,229,164,61,12266,225.0,66
uinvite_hierarchical,1,23,235,158,61,12266,219.0,69
uinvite_hierarchical,1,24,237,156,57,12270,213.0,72
uinvite_hierarchical,1,25,243,150,57,12270,207.0,75
uinvite_hierarchical,1,26,240,153,60,12267,213.0,78
uinvite_hierarchical,1,27,233,160,57,12270,217.0,81
uinvite_hierarchical,1,28,234,159,49,12278,208.0,84
uinvite_hierarchical,1,29,247,146,53,12274,199.0,87
uinvite_hierarchical,1,3,79,314,27,12300,341.0,9
uinvite_hierarchical,1,30,225,168,47,12280,215.0,90
uinvite_hierarchical,1,31,223,170,47,12280,217.0,93
uinvite_hierarchical,1,32,230,163,46,12281,209.0,96
uinvite_hierarchical,1,33,241,152,45,12282,197.0,99
uinvite_hierarchical,1,34,230,163,47,12280,210.0,102
uinvite_hierarchical,1,35,231,162,44,12283,206.0,105
uinvite_hierarchical,1,36,239,154,55,12272,209.0,108
uinvite_hierarchical,1,37,241,152,47,12280,199.0,111
uinvite_hierarchical,1,38,246,147,39,12288,186.0,114
uinvite_hierarchical,1,39,244,149,33,12294,182.0,117
uinvite_hierarchical,1,4,109,284,32,12295,316.0,12
uinvite_hierarchical,1,40,248,145,39,12288,184.0,120
uinvite_hierarchical,1,41,252,141,29,12298,170.0,123
uinvite_hierarchical,1,42,264,129,40,12287,169.0,126
uinvite_hierarchical,1,43,249,144,33,12294,177.0,129
uinvite_hierarchical,1,44,263,130,43,12284,173.0,132
uinvite_hierarchical,1,45,259,134,43,12284,177.0,135
uinvite_hierarchical,1,46,253,140,23,12304,163.0,138
uinvite_hierarchical,1,47,258,135,32,12295,167.0,141
uinvite_hierarchical,1,48,259,134,29,12298,163.0,144
uinvite_hierarchical,1,49,258,135,32,12295,167.0,147
uinvite_hierarchical,1,5,139,254,44,12283,298.0,15
uinvite_hierarchical,1,6,146,247,40,12287,287.0,18
uinvite_hierarchical,1,7,155,238,47,12280,285.0,21
uinvite_hierarchical,1,8,166,227,51,12276,278.0,24
uinvite_hierarchical,1,9,177,216,57,12270,273.0,27
uinvite_hierarchical,10,0,0,393,0,12327,393.0,0
uinvite_hierarchical,2,1,0,393,0,12327,393.0,6
uinvite_hierarchical,2,10,195,198,62,12265,260.0,60
uinvite_hierarchical,2,11,197,196,53,12274,249.0,66
uinvite_hierarchical,2,12,208,185,58,12269,243.0,72
uinvite_hierarchical,2,13,205,188,57,12270,245.0,78
uinvite_hierarchical,2,15,204,189,60,12267,249.0,90
uinvite_hierarchical,2,16,207,186,69,12258,255.0,96
uinvite_hierarchical,2,17,203,190,63,12264,253.0,102
uinvite_hierarchical,2,18,207,186,61,12266,247.0,108
uinvite_hierarchical,2,19,215,178,56,12271,234.0,114
uinvite_hierarchical,2,2,49,344,13,12314,357.0,12
uinvite_hierarchical,2,20,205,188,64,12263,252.0,120
uinvite_hierarchical,2,21,222,171,50,12277,221.0,126
uinvite_hierarchical,2,22,217,176,51,12276,227.0,132
uinvite_hierarchical,2,23,223,170,55,12272,225.0,138
uinvite_hierarchical,2,24,227,166,52,12275,218.0,144
uinvite_hierarchical,2,25,231,162,45,12282,207.0,150
uinvite_hierarchical,2,26,220,173,44,12283,217.0,156
uinvite_hierarchical,2,27,234,159,42,12285,201.0,162
uinvite_hierarchical,2,28,240,153,36,12291,189.0,168
uinvite_hierarchical,2,29,239,154,38,12289,192.0,174
uinvite_hierarchical,2,3,84,309,29,12298,338.0,18
uinvite_hierarchical,2,30,240,153,41,12286,194.0,180
uinvite_hierarchical,2,31,243,150,43,12284,193.0,186
uinvite_hierarchical,2,32,239,154,37,12290,191.0,192
uinvite_hierarchical,2,33,245,148,37,12290,185.0,198
uinvite_hierarchical,2,34,254,139,34,12293,173.0,204
uinvite_hierarchical,2,35,245,148,35,12292,183.0,210
uinvite_hierarchical,2,36,262,131,41,12286,172.0,216
uinvite_hierarchical,2,37,264,129,38,12289,167.0,222
uinvite_hierarchical,2,38,248,145,35,12292,180.0,228
uinvite_hierarchical,2,39,255,138,36,12291,174.0,234
uinvite_hierarchical,2,4,102,291,33,12294,324.0,24
uinvite_hierarchical,2,40,257,136,35,12292,171.0,240
uinvite_hierarchical,2,41,264,129,29,12298,158.0,246
uinvite_hierarchical,2,42,254,139,29,12298,168.0,252
uinvite_hierarchical,2,43,258,135,35,12292,170.0,258
uinvite_hierarchical,2,44,256,137,31,12296,168.0,264
uinvite_hierarchical,2,45,258,135,33,12294,168.0,270
uinvite_hierarchical,2,46,266,127,23,12304,150.0,276
uinvite_hierarchical,2,47,264,129,30,12297,159.0,282
uinvite_hierarchical,2,48,265,128,25,12302,153.0,288
uinvite_hierarchical,2,49,276,117,35,12292,152.0,294
uinvite_hierarchical,2,5,133,260,55,12272,315.0,30
uinvite_hierarchical,2,6,151,242,61,12266,303.0,36
uinvite_hierarchical,2,7,150,243,49,12278,292.0,42
uinvite_hierarchical,2,8,180,213,44,12283,257.0,48
uinvite_hierarchical,2,9,185,208,70,12257,278.0,54
uinvite_hierarchical,3,1,0,393,0,12327,393.0,9
uinvite_hierarchical,3,10,183,210,64,12263,274.0,90
uinvite_hierarchical,3,11,182,211,73,12254,284.0,99
uinvite_hierarchical,3,12,185,208,56,12271,264.0,108
uinvite_hierarchical,3,13,196,197,60,12267,257.0,117
uinvite_hierarchical,3,14,216,177,49,12278,226.0,126
uinvite_hierarchical,3,15,210,183,60,12267,243.0,135
uinvite_hierarchical,3,16,212,181,56,12271,237.0,144
uinvite_hierarchical,3,17,202,191,56,12271,247.0,153
uinvite_hierarchical,3,18,228,165,51,12276,216.0,162
uinvite_hierarchical,3,19,213,180,50,12277,230.0,171
uinvite_hierarchical,3,2,55,338,14,12313,352.0,18
uinvite_hierarchical,3,20,222,171,59,12268,230.0,180
uinvite_hierarchical,3,21,217,176,51,12276,227.0,189
uinvite_hierarchical,3,22,231,162,42,12285,204.0,198
uinvite_hierarchical,3,23,236,157,49,12278,206.0,207
uinvite_hierarchical,3,24,237,156,46,12281,202.0,216
uinvite_hierarchical,3,25,233,160,45,12282,205.0,225
uinvite_hierarchical,3,26,228,165,41,12286,206.0,234
uinvite_hierarchical,3,27,240,153,44,12283,197.0,243
uinvite_hierarchical,3,28,247,146,40,12287,186.0,252
uinvite_hierarchical,3,29,236,157,49,12278,206.0,261
uinvite_hierarchical,3,3,88,305,27,12300,332.0,27
uinvite_hierarchical,3,30,233,160,31,12296,191.0,270
uinvite_hierarchical,3,31,247,146,39,12288,185.0,279
uinvite_hierarchical,3,32,250,143,33,12294,176.0,288
uinvite_hierarchical,3,33,246,147,41,12286,188.0,297
uinvite_hierarchical,3,34,257,136,40,12287,176.0,306
uinvite_hierarchical,3,35,244,149,37,12290,186.0,315
uinvite_hierarchical,3,36,246,147,32,12295,179.0,324
uinvite_hierarchical,3,37,256,137,28,12299,165.0,333
uinvite_hierarchical,3,38,251,142,33,12294,175.0,342
uinvite_hierarchical,3,39,257,136,40,12287,176.0,351
uinvite_hierarchical,3,4,98,295,43,12284,338.0,36
uinvite_hierarchical,3,40,238,155,32,12295,187.0,360
uinvite_hierarchical,3,41,240,153,31,12296,184.0,369
uinvite_hierarchical,3,42,255,138,44,12283,182.0,378
uinvite_hierarchical,3,43,251,142,35,12292,177.0,387
uinvite_hierarchical,3,44,253,140,38,12289,178.0,396
uinvite_hierarchical,3,45,253,140,32,12295,172.0,405
uinvite_hierarchical,3,46,258,135,31,12296,166.0,414
uinvite_hierarchical,3,47,264,129,35,12292,164.0,423
uinvite_hierarchical,3,48,253,140,26,12301,166.0,432
uinvite_hierarchical,3,49,256,137,39,12288,176.0,441
uinvite_hierarchical,3,5,109,284,31,12296,315.0,45
uinvite_hierarchical,3,6,143,250,35,12292,285.0,54
uinvite_hierarchical,3,7,163,230,72,12255,302.0,63
uinvite_hierarchical,3,8,169,224,71,12256,295.0,72
uinvite_hierarchical,3,9,185,208,44,12283,252.0,81
uinvite_hierarchical,4,1,0,393,0,12327,393.0,12
uinvite_hierarchical,4,10,184,209,57,12270,266.0,120
uinvite_hierarchical,4,11,190,203,55,12272,258.0,132
uinvite_hierarchical,4,12,194,199,61,12266,260.0,144
uinvite_hierarchical,4,13,194,199,59,12268,258.0,156
uinvite_hierarchical,4,14,207,186,56,12271,242.0,168
uinvite_hierarchical,4,15,206,187,48,12279,235.0,180
uinvite_hierarchical,4,16,204,189,53,12274,242.0,192
uinvite_hierarchical,4,17,208,185,61,12266,246.0,204
uinvite_hierarchical,4,18,215,178,58,12269,236.0,216
uinvite_hierarchical,4,19,229,164,65,12262,229.0,228
uinvite_hierarchical,4,2,61,332,12,12315,344.0,24
uinvite_hierarchical,4,20,224,169,52,12275,221.0,240
