word,freq,aoa_mean,aoa_sd
a,20415.27,2.89,1.21
aardvark,0.41,9.89,3.66
abacus,0.24,8.69,3.77
abalone,0.51,12.23,3.54
abandon,8.1,8.32,2.75
abandoner,0.02,11.89,3.36
abandonment,0.96,10.27,2.57
abase,0.06,14.57,4.29
abasement,#N/A,15.13,5.37
abate,0.1,14.44,3.57
abatement,0.06,15.12,2.78
abattoir,0.14,15.17,2.71
abbacy,#N/A,14.5,0.71
abbess,0.04,15.43,2.37
abbey,3.18,13.06,3.59
abbot,0.84,12.1,4.7
abbreviate,0.02,9.95,2.07
abbreviated,0.31,10.5,1.79
abbreviation,0.24,9.11,2.37
abdicate,0.18,12.6,3.18
abdication,0.12,14.94,3.59
abdomen,3.35,8.61,2.25
abdominal,3.41,10.24,3.6
abduct,0.71,11.26,4.03
abduction,3.63,11.94,3.99
abductor,0.35,11.11,3.56
abeam,0.14,13.4,2.88
aberrant,0.29,13.31,3.5
aberration,0.55,12.69,3.33
abet,0.1,12.15,3.31
abettor,0.02,15.55,2.98
abeyance,0.04,15,2.58
abhor,0.24,13.76,3.27
abhorrent,0.18,12.14,4.24
abide,2.71,9.5,3.11
abiding,0.49,10.3,4.01
ability,19.22,8.84,3.22
abject,0.39,14,4.41
abjuration,#N/A,17.12,2.59
abjure,0.02,14.6,3.66
ablation,0.02,13.29,3.45
ablaze,0.41,10.83,2.68
able,159.9,7.79,3.31
ablution,0.06,13.64,3.41
abnormal,2.9,10.05,2.61
abnormality,0.51,11.58,3.34
aboard,26.63,8.66,1.33
abode,0.65,12.06,2.93
abolish,0.47,10.42,2.57
abolition,0.2,13.28,3.41
abolitionism,0.02,11.78,3.17
abolitionist,0.22,12.6,3.5
abominable,0.63,8.94,3.04
abominate,0.06,15,4.24
abomination,1.14,11.17,3.45
aboriginal,0.18,14.75,4.25
aborigine,0.08,12.56,4.18
aborning,0.02,13.25,3.77
abort,4.61,12.21,3.33
abortion,7.24,13.21,3.41
abortionist,0.08,15,3.28
abortive,0.02,13.93,3.41
abound,0.35,11.65,3.12
about,3631.49,5.07,1.75
above,48.88,4.55,2
aboveboard,0.27,13,3.43
aboveground,0.14,8.05,2.37
abovementioned,0.02,14.24,2.73
abracadabra,1.04,6.89,3.43
abrade,0.02,14,4.54
abrasion,0.35,11.95,3.72
abrasive,0.45,12.22,4.02
abrasiveness,0.04,12.06,3.89
abreaction,0.02,15.8,4.34
abreast,0.51,13.06,2.77
abridge,0.02,14.35,3.02
abridged,0.18,12.56,2.66
abridgement,0.02,12.32,3.54
abroad,4.9,10.15,3.2
abrogate,0.02,15.22,2.99
abrupt,1.14,10.95,3.47
abruption,0.12,11.82,2.72
abruptness,0.08,12.39,3.09
abscess,0.49,13.11,3.94
abscond,0.1,13.36,1.86
absconder,0.02,16.62,3.75
absence,6.31,7.7,2.2
absent,2.57,6.5,2.18
absentee,0.35,11,3.61
absenteeism,0.1,13.43,3.61
absentminded,0.06,10.84,3.11
absentmindedness,0.02,9.61,3.09
absinthe,0.55,16.29,3.26
absolute,11.31,8.53,3.44
absolutely,113.12,7.08,2.58
absoluteness,0.02,12.68,3.65
absolution,0.94,11.71,3.14
absolve,0.57,12.9,3.02
absolver,0.08,13.6,5.05
absorb,1.98,8.83,2.33
absorbent,0.16,10.32,2.75
absorber,0.06,10.33,3.27
absorption,0.35,10.94,2.6
abstain,0.51,12.95,3.27
abstention,0.12,15.19,3.82
abstinence,0.88,12.74,2.66
abstract,2.18,11.47,3.58
abstraction,0.29,13.65,3.52
abstractionist,0.02,14.72,3.82
abstruse,0.06,14.6,3.34
absurd,9.71,10.5,3.1
absurdist,0.02,13,3.22
absurdity,0.63,13.21,2.39
abundance,0.88,10.45,2.16
abundant,0.57,12.84,2.57
abuse,10.25,8.61,2.73
abuser,0.31,9.94,3.75
abusive,1.63,9.58,2.48
abusiveness,0.02,10.47,2.34
abut,0.12,13.11,1.9
abutment,0.12,15.33,2.45
abuzz,0.04,13,2.77
abysm,#N/A,15.25,2.87
abysmal,0.41,13.78,3.47
abyss,1.76,11,2.43
abyssal,0.02,17.27,4.36
ac,2.16,10.75,5.12
acacia,0.16,14.25,6.2
academe,0.04,13.27,3.06
academia,0.24,13.74,2.77
academic,4.67,9.74,2.98
academician,0.02,15.21,2.69
academicism,#N/A,15,3.71
academy,12.41,9.05,2.55
acanthus,0.02,15.17,3.76
accede,0.14,14.31,1.84
accelerando,#N/A,14.5,3.51
accelerant,0.55,12.84,4.6
accelerate,1.27,10.74,3.43
accelerated,0.96,10.11,3.6
acceleration,0.86,9.84,2.79
accelerator,1.35,10.27,2.8
accent,12.18,8.6,3
accentuate,0.35,13.24,2.25
accept,52.78,6.74,2.08
acceptable,5.27,9.84,2.67
acceptance,3.16,8.56,2.04
acceptant,0.02,11.89,4.04
access,31.67,9.1,2.36
accessibility,0.04,11.05,3.58
accessible,1.1,9.94,3.26
accession,0.12,12.25,3.09
accessorize,0.35,11.39,4.46
accessory,2.88,11.15,3.65
accident,81.29,5.3,2.18
accidental,3,6.75,3.11
acclaim,0.43,12.11,3.76
acclamation,0.02,14,2.7
acclimate,0.16,14.24,2.75
acclimatization,0.02,16.12,2.39
acclimatize,0.02,14,3.63
accolade,0.02,12.43,4.35
accommodate,2.14,9.9,2.25
accommodation,0.94,9.58,3.15
accommodative,0.02,15.18,4.83
accompaniment,0.29,11.18,3.32
accompanist,0.2,12.78,2.8
accompany,4.75,10.75,2.65
accomplice,4.24,9.78,2.82
accomplish,5.84,7.84,2.75
accomplishment,1.88,9,2.77
accord,1.63,9.65,2.74
accordance,1.59,11.75,3.48
according,41.86,8.45,2
accordion,1.31,8.61,2.97
accost,0.06,13.37,4.45
account,44.71,8.26,2.84
accountability,0.47,12.16,3.3
accountable,1.41,11.7,2.92
accountancy,0.06,14.8,2.37
accountant,6.18,11.67,3.69
accounting,4.51,12.05,3.05
accoutrement,0.12,13.87,3.04
accreditation,0.18,15.53,3.13
accredited,0.31,13.89,2.7
accrete,0.02,14,3.4
accrual,0.04,15,3.33
accrue,0.08,14.11,2.32
accumulate,0.57,12.3,2.99
accumulation,0.25,10.5,2.77
accumulative,0.06,12.5,3.33
accumulator,0.02,13.94,4.25
accuracy,1.49,9.71,2.55
accurate,7.84,9.44,2.2
accursed,0.65,12.71,3.38
accusation,2.8,10.17,3.24
accusative,#N/A,13.33,3.56
accusatory,0.06,11.18,2.58
accuse,5.69,9.1,2.13
accuser,0.29,11.72,3.48
accustom,0.12,12,2.94
ace,14.73,8.83,3.65
acerb,#N/A,15.67,0.58
acerbic,0.08,16.62,2.5
acerbity,#N/A,15.75,3.37
acetaminophen,0.1,13.47,3.73
acetate,0.12,12.85,3.89
acetic,0.02,13.75,2.41
acetone,0.16,14.05,4.2
acetyl,0.04,16.31,2.47
acetylcholine,0.14,16.3,2.71
acetylene,0.45,16.88,3.64
acetylsalicylic,0.08,17.71,3.5
ache,2.49,5.79,2.27
achievable,0.04,9.89,3.22
achieve,7.33,8.53,1.95
achievement,3.49,8.8,2.67
achiever,0.24,9.11,2.08
achiness,0.02,10.11,3.77
achy,0.45,8.06,2.98
acid,9.96,9.6,2.3
acidic,0.22,11.21,1.72
acidity,0.2,12.78,2.88
acidophilus,0.06,17.4,5.66
acidosis,0.16,16.85,4.18
acidulous,#N/A,15.43,3.46
acknowledge,6.14,9.11,2.83
acknowledgement,0.41,9.95,4.42
acme,1.25,9.54,3.8
acne,0.9,11.4,2.19
acolyte,0.14,13.77,3.06
aconitum,0.08,11,4.24
acorn,0.73,5.95,2.91
acoustic,0.96,12.39,2.68
acoustical,0.12,12.9,3.73
acoustics,0.43,11.32,3.56
acquaintance,5.35,10.48,4.03
acquaintanceship,0.08,14.18,2.16
acquiesce,0.06,14.25,3.47
acquiescence,0.1,13.61,2.91
acquiescent,0.02,14.18,3.31
acquire,2.65,9.94,2.73
acquirer,0.02,11.79,3.26
acquisition,1.45,13.63,3.67
acquisitive,0.06,14.19,3.06
acquisitiveness,0.02,14.38,3.28
acquit,0.47,13.22,3.15
acquittal,0.73,12.39,3.55
acre,1.82,9.8,3.16
acreage,0.43,13.13,3.89
acrid,0.04,14.07,3.33
acrimonious,0.14,16.3,4.03
acrimony,0.22,14.75,4.45
acrobat,0.59,8.05,2.78
acrobatic,0.24,9.38,3.69
acrobatics,0.22,9,3.71
acronym,0.29,11.56,2.75
acrophobia,0.2,14.38,4.5
acropolis,0.12,15.4,2.69
across,94.14,6.64,2.31
acrostic,#N/A,14.82,3.57
acrylic,0.45,11.56,3.93
act,109.12,6.42,2.22
actinic,0.02,15.62,5.4
actinium,#N/A,NA,NA
action,61.08,6.67,2.83
actionable,0.25,12.5,4.73
activate,4.67,11.11,4.17
activation,0.84,9.78,3.44
activator,0.08,11.5,2.96
active,11.45,6.53,1.74
activism,0.18,11.89,2.23
activist,0.98,11.8,2.86
activity,12.88,6.47,2.84
actor,26.33,7.17,2.01
actress,16.02,6.17,2.26
actual,17.33,6.94,2.34
actuality,0.47,12.38,2.92
actualization,0.06,13.84,3.5
actualize,0.04,13.61,2.48
actually,322.33,7.33,1.87
actuarial,0.18,15.85,4.22
actuary,0.14,17.27,2.87
actuation,0.02,14.69,2.66
actuator,0.04,13.71,3.81
acuity,0.27,13.88,1.46
acumen,0.14,14.44,2.19
acupressure,0.12,14.44,2.97
acupuncture,0.73,11.79,2.99
acupuncturist,0.18,14.61,4.68
acute,2.94,11.6,3.65
acuteness,0.02,12.95,3.17
acyclovir,0.02,12.57,3.64
ad,13.61,8.22,3.04
adage,0.63,16.21,2.89
adagio,0.24,12.62,4.78
adamant,0.98,14.29,3.5
adamantine,0.02,15.91,2.3
adapt,2.63,9,2.83
adaptability,0.14,11.65,3.04
adaptable,0.33,9.37,2.63
adaptation,1.59,11.39,2.7
adapter,0.22,11.79,2.72
adaption,0.02,12.4,4.32
adaptive,0.22,11.33,3.53
adaptor,0.08,10.21,2.55
add,33.06,5.1,1.48
addendum,0.29,15.65,3.14
adder,1.43,12.13,4.87
