name,cutoff,hit,fa,cost
zib_a05,0.0,385,10485,10493
zib_a05,0.05,385,10485,10493
zib_a05,0.1,385,10485,10493
zib_a05,0.15,385,10485,10493
zib_a05,0.2,379,10349,10363
zib_a05,0.25,368,9601,9626
zib_a05,0.3,360,8645,8678
zib_a05,0.35,342,7173,7224
zib_a05,0.4,316,4869,4946
zib_a05,0.45,297,4829,4925
zib_a05,0.5,288,4814,4919
zib_a05,0.55,288,4814,4919
zib_a05,0.6,281,2610,2722
zib_a05,0.65,281,2610,2722
zib_a05,0.7,281,2610,2722
zib_a05,0.75,281,2610,2722
zib_a05,0.8,281,2610,2722
zib_a05,0.85,281,2610,2722
zib_a05,0.9,271,2582,2704
zib_a05,0.95,199,92,286
zib_a05,1.0,0,0,393
zib_a1,0.0,385,10485,10493
zib_a1,0.05,385,10485,10493
zib_a1,0.1,385,10485,10493
zib_a1,0.15,385,10485,10493
zib_a1,0.2,362,10095,10126
zib_a1,0.25,343,8604,8654
zib_a1,0.3,329,7129,7193
zib_a1,0.35,307,4826,4912
zib_a1,0.4,281,2403,2515
zib_a1,0.45,263,2378,2508
zib_a1,0.5,231,132,294
zib_a1,0.55,225,131,299
zib_a1,0.6,214,99,278
zib_a1,0.65,210,99,282
zib_a1,0.7,206,87,274
zib_a1,0.75,205,86,274
zib_a1,0.8,194,63,262
zib_a1,0.85,194,63,262
zib_a1,0.9,137,10,266
zib_a1,0.95,6,0,387
zib_a1,1.0,0,0,393
zib_a2,0.0,385,10485,10493
zib_a2,0.05,385,10485,10493
zib_a2,0.1,385,10485,10493
zib_a2,0.15,383,10480,10490
zib_a2,0.2,358,9580,9615
zib_a2,0.25,333,7131,7191
zib_a2,0.3,310,4831,4914
zib_a2,0.35,282,2418,2529
zib_a2,0.4,241,162,314
zib_a2,0.45,221,122,294
zib_a2,0.5,191,74,276
zib_a2,0.55,172,67,288
zib_a2,0.6,144,30,279
zib_a2,0.65,136,30,287
zib_a2,0.7,111,7,289
zib_a2,0.75,88,2,307
zib_a2,0.8,63,0,330
zib_a2,0.85,44,0,349
zib_a2,0.9,6,0,387
zib_a2,0.95,0,0,393
zib_a2,1.0,0,0,393
zib_a3,0.0,385,10485,10493
zib_a3,0.05,385,10485,10493
zib_a3,0.1,385,10485,10493
zib_a3,0.15,381,10457,10469
zib_a3,0.2,349,8613,8657
zib_a3,0.25,319,4838,4912
zib_a3,0.3,301,2437,2529
zib_a3,0.35,263,199,329
zib_a3,0.4,220,128,301
zib_a3,0.45,193,79,279
zib_a3,0.5,147,31,277
zib_a3,0.55,126,28,295
zib_a3,0.6,95,1,299
zib_a3,0.65,83,1,311
zib_a3,0.7,56,0,337
zib_a3,0.75,34,0,359
zib_a3,0.8,15,0,378
zib_a3,0.85,7,0,386
zib_a3,0.9,0,0,393
zib_a3,0.95,0,0,393
zib_a3,1.0,0,0,393
