name,cutoff,hit,fa,cost
zibb_p3_a1_b1,0.0,385,10485,10493
zibb_p3_a1_b1,0.05,385,10485,10493
zibb_p3_a1_b1,0.1,385,10485,10493
zibb_p3_a1_b1,0.15,375,10345,10363
zibb_p3_a1_b1,0.2,343,8607,8657
zibb_p3_a1_b1,0.25,325,7129,7197
zibb_p3_a1_b1,0.3,288,4819,4924
zibb_p3_a1_b1,0.35,262,2402,2533
zibb_p3_a1_b1,0.4,242,2375,2526
zibb_p3_a1_b1,0.45,205,126,314
zibb_p3_a1_b1,0.5,186,78,285
zibb_p3_a1_b1,0.55,167,71,297
zibb_p3_a1_b1,0.6,146,44,291
zibb_p3_a1_b1,0.65,143,44,294
zibb_p3_a1_b1,0.7,136,43,300
zibb_p3_a1_b1,0.75,123,22,292
zibb_p3_a1_b1,0.8,119,22,296
zibb_p3_a1_b1,0.85,100,6,299
zibb_p3_a1_b1,0.9,34,0,359
zibb_p3_a1_b1,0.95,0,0,393
zibb_p3_a1_b1,1.0,0,0,393
zibb_p4_a1_b1,0.0,385,10485,10493
zibb_p4_a1_b1,0.05,385,10485,10493
zibb_p4_a1_b1,0.1,385,10485,10493
zibb_p4_a1_b1,0.15,381,10457,10469
zibb_p4_a1_b1,0.2,356,9577,9614
zibb_p4_a1_b1,0.25,330,7123,7186
zibb_p4_a1_b1,0.3,305,4823,4911
zibb_p4_a1_b1,0.35,294,4813,4912
zibb_p4_a1_b1,0.4,253,2372,2512
zibb_p4_a1_b1,0.45,252,2372,2513
zibb_p4_a1_b1,0.5,213,124,304
zibb_p4_a1_b1,0.55,199,78,272
zibb_p4_a1_b1,0.6,184,72,281
zibb_p4_a1_b1,0.65,173,53,273
zibb_p4_a1_b1,0.7,168,53,278
zibb_p4_a1_b1,0.75,166,51,278
zibb_p4_a1_b1,0.8,153,29,269
zibb_p4_a1_b1,0.85,127,6,272
zibb_p4_a1_b1,0.9,70,0,323
zibb_p4_a1_b1,0.95,0,0,393
zibb_p4_a1_b1,1.0,0,0,393
zibb_p5_a1_b1,0.0,385,10485,10493
zibb_p5_a1_b1,0.05,385,10485,10493
zibb_p5_a1_b1,0.1,385,10485,10493
zibb_p5_a1_b1,0.15,385,10485,10493
zibb_p5_a1_b1,0.2,367,10095,10121
zibb_p5_a1_b1,0.25,347,8605,8651
zibb_p5_a1_b1,0.3,334,7127,7186
zibb_p5_a1_b1,0.35,310,4823,4906
zibb_p5_a1_b1,0.4,282,2400,2511
zibb_p5_a1_b1,0.45,263,2375,2505
zibb_p5_a1_b1,0.5,231,129,291
zibb_p5_a1_b1,0.55,228,128,293
zibb_p5_a1_b1,0.6,216,92,269
zibb_p5_a1_b1,0.65,211,92,274
zibb_p5_a1_b1,0.7,208,82,267
zibb_p5_a1_b1,0.75,208,81,266
zibb_p5_a1_b1,0.8,197,59,255
zibb_p5_a1_b1,0.85,197,59,255
zibb_p5_a1_b1,0.9,139,9,263
zibb_p5_a1_b1,0.95,6,0,387
zibb_p5_a1_b1,1.0,0,0,393
zibb_p6_a1_b1,0.0,385,10485,10493
zibb_p6_a1_b1,0.05,385,10485,10493
zibb_p6_a1_b1,0.1,385,10485,10493
zibb_p6_a1_b1,0.15,385,10485,10493
zibb_p6_a1_b1,0.2,382,10457,10468
zibb_p6_a1_b1,0.25,370,10103,10126
zibb_p6_a1_b1,0.3,356,8636,8673
zibb_p6_a1_b1,0.35,345,7172,7220
zibb_p6_a1_b1,0.4,320,4875,4948
zibb_p6_a1_b1,0.45,312,4861,4942
zibb_p6_a1_b1,0.5,292,2711,2812
zibb_p6_a1_b1,0.55,292,2711,2812
zibb_p6_a1_b1,0.6,284,493,602
zibb_p6_a1_b1,0.65,284,493,602
zibb_p6_a1_b1,0.7,283,493,603
zibb_p6_a1_b1,0.75,283,493,603
zibb_p6_a1_b1,0.8,283,493,603
zibb_p6_a1_b1,0.85,273,471,591
zibb_p6_a1_b1,0.9,241,135,287
zibb_p6_a1_b1,0.95,46,0,347
zibb_p6_a1_b1,1.0,0,0,393
zibb_p7_a1_b1,0.0,385,10485,10493
zibb_p7_a1_b1,0.05,385,10485,10493
zibb_p7_a1_b1,0.1,385,10485,10493
zibb_p7_a1_b1,0.15,385,10485,10493
zibb_p7_a1_b1,0.2,385,10485,10493
zibb_p7_a1_b1,0.25,382,10457,10468
zibb_p7_a1_b1,0.3,373,10108,10128
zibb_p7_a1_b1,0.35,369,9603,9627
zibb_p7_a1_b1,0.4,352,7183,7224
zibb_p7_a1_b1,0.45,351,7183,7225
zibb_p7_a1_b1,0.5,338,7074,7129
zibb_p7_a1_b1,0.55,338,7074,7129
zibb_p7_a1_b1,0.6,338,7074,7129
zibb_p7_a1_b1,0.65,331,4889,4951
zibb_p7_a1_b1,0.7,331,4889,4951
zibb_p7_a1_b1,0.75,331,4889,4951
zibb_p7_a1_b1,0.8,331,4889,4951
zibb_p7_a1_b1,0.85,331,4889,4951
zibb_p7_a1_b1,0.9,321,4842,4914
zibb_p7_a1_b1,0.95,173,93,313
zibb_p7_a1_b1,1.0,0,0,393

